Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,119526,428,5,33,,120,270
Addison Police Dept,TX,12,13331,78,0,10,,18,50
Alamo Police Dept,TX,12,18739,164,3,10,,19,132
Alice Police Dept,TX,12,19506,206,1,12,,3,190
Allen Police Dept,TX,12,86019,72,0,12,,17,43
Alton City Police Dept,TX,12,12601,14,0,0,,6,8
Alvin Police Dept,TX,12,24746,56,2,10,,12,32
Amarillo Police Dept,TX,12,194708,1223,10,104,,235,874
Andrews Police Dept,TX,12,11321,82,0,12,,0,70
Angleton Police Dept,TX,12,19259,64,1,7,,15,41
Arlington Police Dept,TX,12,373128,1874,22,136,,540,1176
Athens Police Dept,TX,12,12977,67,1,11,,20,35
Austin Police Dept,TX,12,807022,3471,28,211,,1106,2126
Azle Police Dept,TX,12,11177,23,0,2,,1,20
Balch Springs Police Dept,TX,12,24227,191,0,17,,48,126
Bay City Police Dept,TX,12,17985,38,4,6,,9,19
Baytown Police Dept,TX,12,73313,212,1,13,,79,119
Beaumont Police Dept,TX,12,120785,1069,13,65,,356,635
Bedford Police Dept,TX,12,47968,170,0,16,,21,133
Beeville Police Dept,TX,12,13134,34,0,4,,4,26
Bellaire Police Dept,TX,12,17210,22,0,0,,16,6
Bellmead Police Dept,TX,12,10109,171,0,9,,7,155
Belton Police Dept,TX,12,18599,56,0,0,,9,47
Benbrook Police Dept,TX,12,21681,17,1,2,,3,11
Big Spring Police Dept,TX,12,27856,190,0,19,,9,162
Boerne Police Dept,TX,12,10691,17,0,2,,5,10
Borger Police Dept,TX,12,13530,120,1,6,,2,111
Brenham Police Dept,TX,12,16047,43,1,5,,6,31
Brownsville Police Dept,TX,12,178706,500,1,37,,109,353
Brownwood Police Dept,TX,12,19694,89,0,17,,6,66
Bryan Police Dept,TX,12,77804,425,2,22,,78,323
Buda,TX,12,7449,5,0,0,,3,2
Burkburnett Police Dept,TX,12,11038,23,0,8,,2,13
Burleson Police Dept,TX,12,37462,79,0,11,,14,54
Canyon Police Dept,TX,12,13583,15,0,3,,1,11
Carrollton Police Dept,TX,12,121603,206,3,4,,93,106
Cedar Hill Police Dept,TX,12,45975,108,0,8,,33,67
Cedar Park City Police Dept,TX,12,49967,70,0,7,,6,57
Cibolo Police Dept,TX,12,15672,21,0,7,,2,12
Cleburne Police Dept,TX,12,29954,159,0,37,,19,103
Clute Police Dept,TX,12,11447,53,0,2,,3,48
College Station Police Dept,TX,12,95832,288,1,31,,32,224
Colleyville Police Dept,TX,12,23287,9,0,0,,4,5
Conroe Police Dept,TX,12,57390,194,2,12,,60,120
Converse Police Dept,TX,12,18581,32,0,3,,9,20
Coppell Police Dept,TX,12,39472,33,1,5,,3,24
Copperas Cove Police Dept,TX,12,32706,122,1,9,,8,104
Corinth City Police Dept,TX,12,20354,19,0,1,,2,16
Corpus Christi Police Dept,TX,12,311637,1987,12,194,,370,1411
Corsicana Police Dept,TX,12,24270,243,0,24,,23,196
Crowley Police Dept,TX,12,13108,20,1,2,,1,16
Dallas Police Dept,TX,12,1223021,8330,133,428,,4066,3703
Deer Park Police Dept,TX,12,32684,39,0,14,,6,19
Del Rio Police Dept,TX,12,36340,91,1,0,,12,78
Denison Police Dept,TX,12,23159,91,2,9,,14,66
Denton Police Dept,TX,12,115769,311,2,53,,55,201
De Soto Police Dept,TX,12,50079,150,5,9,,66,70
Dickinson City Police Dept,TX,12,19073,48,2,3,,12,31
Donna City Police Dept,TX,12,16130,116,0,4,,12,100
Dumas Police Dept,TX,12,15000,43,1,13,,3,26
Duncanville Police Dept,TX,12,39335,126,1,9,,64,52
Eagle Pass Police Dept,TX,12,26800,56,2,0,,12,42
Edinburg Police Dept,TX,12,78722,282,1,28,,54,199
El Campo Police Dept,TX,12,11846,49,0,2,,4,43
