Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
El Paso Police Dept,TX,12,662780,2858,16,217,,464,2161
Ennis Police Dept,TX,12,18903,76,1,7,,20,48
Euless Police Dept,TX,12,52356,128,0,13,,44,71
Farmers Branch Police Dept,TX,12,29218,37,1,3,,19,14
Flower Mound Police Dept,TX,12,66030,51,0,4,,3,44
Forest Hill Police Dept,TX,12,12615,78,0,5,,20,53
Forney Police Dept,TX,12,14970,30,0,5,,5,20
Fort Worth Police Dept,TX,12,756803,4569,48,350,,1267,2904
Fredericksburg Police Dept,TX,12,10752,4,0,0,,2,2
Freeport Police Dept,TX,12,12303,41,0,4,,6,31
Friendswood Police Dept,TX,12,36558,12,0,6,,3,3
Frisco Police Dept,TX,12,119451,122,3,6,,23,90
Gainesville Police Dept,TX,12,16339,63,0,2,,11,50
Galena Park Police Dept,TX,12,11116,17,0,6,,7,4
Galveston Police Dept,TX,12,48748,302,4,58,,88,152
Garland Police Dept,TX,12,231650,530,5,55,,247,223
Gatesville Police Dept,TX,12,16082,32,0,9,,1,22
Georgetown Police Dept,TX,12,48397,65,1,16,,13,35
Glenn Heights Police Dept,TX,12,11515,45,2,1,,5,37
Grand Prairie Police Dept,TX,12,179087,591,9,69,,201,312
Grapevine Police Dept,TX,12,47309,91,6,12,,18,55
Greenville Police Dept,TX,12,26095,181,3,25,,40,113
Groves Police Dept,TX,12,16484,59,0,3,,14,42
Haltom City Police Dept,TX,12,43301,119,1,11,,30,77
Harker Heights Police Dept,TX,12,27262,71,0,9,,19,43
Harlingen Police Dept,TX,12,66214,337,4,18,,65,250
Henderson Police Dept,TX,12,14001,80,0,2,,4,74
Hereford Police Dept,TX,12,15693,54,0,1,,1,52
Hewitt Police Dept,TX,12,13834,21,0,9,,2,10
Hidalgo Police Dept,TX,12,11434,13,0,0,,4,9
Highland Village Police Dept,TX,12,15373,7,0,1,,2,4
Horizon City Police Dept,TX,12,17087,17,0,0,,3,14
Houston Police Dept,TX,12,2143628,20892,198,771,,8054,11869
Humble Police Dept,TX,12,15451,114,2,25,,45,42
Huntsville Police Dept,TX,12,39359,188,1,16,,24,147
Hurst Police Dept,TX,12,38123,177,1,8,,33,135
Hutto Police Dept,TX,12,15007,14,0,0,,0,14
Irving Police Dept,TX,12,220841,514,8,25,,151,330
Jacinto City Police Dept,TX,12,10775,18,1,0,,8,9
Jacksonville Police Dept,TX,12,14850,175,0,16,,19,140
Katy Police Dept,TX,12,14399,33,0,0,,7,26
Keller Police Dept,TX,12,40461,24,2,5,,2,15
Kerrville Police Dept,TX,12,22817,45,1,0,,10,34
Kilgore Police Dept,TX,12,13248,41,1,6,,6,28
Killeen Police Dept,TX,12,130613,815,15,69,,172,559
Kingsville Police Dept,TX,12,26765,232,0,18,,11,203
Kyle Police Dept,TX,12,28606,81,1,15,,5,60
La Marque Police Dept,TX,12,14814,60,2,4,,28,26
La Porte Police Dept,TX,12,34511,46,0,18,,10,18
Lake Jackson Police Dept,TX,12,27414,40,0,9,,11,20
Lakeway Police Dept,TX,12,11631,11,0,3,,1,7
Lancaster Police Dept,TX,12,37126,110,2,12,,31,65
Laredo,TX,12,241059,1120,11,76,,215,818
League City Police Dept,TX,12,85318,94,3,21,,37,33
Leander City Police Dept,TX,12,27079,20,0,4,,3,13
Leon Valley Police Dept,TX,12,10365,25,0,4,,12,9
Levelland Police Dept,TX,12,13827,70,0,23,,4,43
Lewisville Police Dept,TX,12,97295,183,3,22,,53,105
Little Elm Police Dept,TX,12,26443,14,0,0,,3,11
Live Oak City Police Dept,TX,12,13407,29,0,8,,6,15
Lockhart Police Dept,TX,12,12965,53,1,7,,3,42
Longview Police Dept,TX,12,82148,412,4,20,,110,278
Lubbock Police Dept,TX,12,234404,1800,8,70,,313,1409
Lufkin Police Dept,TX,12,35805,193,1,19,,43,130
Lumberton,TX,12,12194,14,0,4,,1,9
Mansfield Police Dept,TX,12,57554,62,1,17,,17,27
Marshall Police Dept,TX,12,24018,194,2,14,,26,152
McAllen Police Dept,TX,12,132610,246,4,27,,72,143
Mckinney Police Dept,TX,12,133876,241,1,33,,44,163
The Village Police Dept,TX,12,11359,9,0,1,,4,4
Mercedes Police Dept,TX,12,15898,101,0,7,,17,77
Mesquite Police Dept,TX,12,142766,397,2,8,,177,210
Midland Police Dept,TX,12,113486,334,4,21,,58,251
Midlothian Police Dept,TX,12,18417,24,0,2,,4,18
Mineral Wells Police Dept,TX,12,17141,81,2,25,,5,49
Mission Police Dept,TX,12,78679,100,2,6,,37,55
Missouri City Police Dept,TX,12,68775,90,0,10,,35,45
Mount Pleasant Police Dept,TX,12,15892,37,0,0,,7,30
Murphy City Police Dept,TX,12,18081,11,0,0,,1,10
Nacogdoches Police Dept,TX,12,33690,213,1,6,,31,175
Nederland Police Dept,TX,12,17916,65,0,9,,8,48
New Braunfels Police Dept,TX,12,58955,119,2,7,,26,84
North Richland Hills Police Dept,TX,12,64676,185,0,29,,33,123
Odessa Police Dept,TX,12,102043,748,6,37,,73,632
Orange Police Dept,TX,12,18986,153,0,4,,46,103
Palestine Police Dept,TX,12,19106,101,0,22,,24,55
Pampa Police Dept,TX,12,18373,118,0,0,,6,112
Paris Police Dept,TX,12,25701,166,2,5,,41,118
Pasadena Police Dept,TX,12,152179,566,5,62,,135,364
Pearland Police Dept,TX,12,93172,125,2,15,,29,79
Pflugerville Police Dept,TX,12,47924,63,0,5,,11,47
Pharr Police Dept,TX,12,71881,256,4,17,,51,184
Plainview Police Dept,TX,12,22661,66,0,9,,11,46
Plano Police Dept,TX,12,265309,429,5,40,,142,242
Port Arthur Police Dept,TX,12,54950,434,8,29,,156,241
Port Lavaca Police Dept,TX,12,12506,81,0,12,,6,63
Port Neches Police Dept,TX,12,13314,49,0,2,,1,46
Portland Police Dept,TX,12,15417,21,0,4,,4,13
Prosper,TX,12,9621,13,0,0,,1,12
Raymondville Police Dept,TX,12,11521,148,0,4,,2,142
Red Oak Police Dept,TX,12,10996,20,0,2,,7,11
Richardson Police Dept,TX,12,101311,173,0,9,,76,88
Richmond Police Dept,TX,12,11925,53,1,6,,10,36
Rio Grande Police Dept,TX,12,14125,41,1,2,,9,29
Robinson Police Dept,TX,12,10730,9,0,0,,5,4
Robstown Police Dept,TX,12,11729,21,0,0,,5,16
Rockport Police Dept,TX,12,8950,17,0,0,,1,16
Rockwall Police Dept,TX,12,38279,47,0,10,,8,29
Rosenberg Police Dept,TX,12,31262,68,2,9,,17,40
Round Rock Police Dept,TX,12,101989,115,2,25,,39,49
Rowlett Police Dept,TX,12,57382,65,0,6,,9,50
Royse City Police Dept,TX,12,9546,24,0,2,,4,18
Sachse City Police Dept,TX,12,20757,14,0,4,,2,8
Saginaw Police Dept,TX,12,20223,42,0,3,,10,29
San Angelo Police Dept,TX,12,95161,250,0,32,,42,176
San Antonio Police Dept,TX,12,1355339,7038,89,492,,1785,4672
San Benito Police Dept,TX,12,24760,89,0,11,,21,57
San Juan Police Dept,TX,12,34568,254,1,45,,22,186
San Marcos Police Dept,TX,12,45839,159,1,11,,37,110
Santa Fe City Police Dept,TX,12,12479,11,0,3,,0,8
Schertz Police Dept,TX,12,32127,84,0,9,,4,71
Seabrook Police Dept,TX,12,12203,7,0,0,,2,5
Seagoville Police Dept,TX,12,15147,15,1,2,,8,4
Seguin Police Dept,TX,12,25705,86,1,6,,27,52
Sherman Police Dept,TX,12,39332,158,1,1,,41,115
Snyder Police Dept,TX,12,11438,68,0,6,,5,57
Socorro Police Dept,TX,12,32687,57,0,3,,6,48
South Houston Police Dept,TX,12,17340,118,2,7,,58,51
Southlake Police Dept,TX,12,27134,8,0,0,,4,4
Stafford Police Dept,TX,12,18065,74,1,2,,34,37
Stephenville Police Dept,TX,12,17483,25,0,9,,3,13
Sugar Land Police Dept,TX,12,80475,96,1,5,,29,61
Sulphur Springs Police Dept,TX,12,15774,32,2,1,,2,27
Sweetwater Police Dept,TX,12,11135,99,1,7,,5,86
Taylor Police Dept,TX,12,15511,18,0,1,,5,12
Temple Police Dept,TX,12,67493,185,0,21,,84,80
Terrell Police Dept,TX,12,16149,69,2,12,,18,37
Texarkana Police Dept,TX,12,37177,468,3,25,,77,363
Texas City Police Dept,TX,12,46048,152,4,1,,57,90
The Colony City Police Dept,TX,12,37092,51,0,6,,12,33
Tomball Police Dept,TX,12,10979,33,1,1,,4,27
Trophy Club Police Dept,TX,12,8193,6,0,3,,0,3
Tyler Police Dept,TX,12,98939,503,3,46,,79,375
Universal City Police Dept,TX,12,18920,53,0,1,,12,40
University Park Police Dept,TX,12,23553,8,0,0,,3,5
Uvalde Police Dept,TX,12,16082,35,0,0,,4,31
Vernon Police Dept,TX,12,11234,59,0,9,,7,43
Victoria Police Dept,TX,12,63909,392,2,38,,70,282
Vidor Police Dept,TX,12,10802,54,0,3,,9,42
Waco Police Dept,TX,12,127431,766,11,70,,245,440
Watauga Police Dept,TX,12,23991,93,0,3,,17,73
Waxahachie Police Dept,TX,12,30244,73,1,1,,19,52
Weatherford Police Dept,TX,12,25781,39,0,4,,11,24
Webster Police Dept,TX,12,10619,49,0,14,,18,17
Weslaco Police Dept,TX,12,36421,154,0,13,,37,104
West University Place Police Dept,TX,12,15098,8,0,0,,7,1
