Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,116267,648,7,88,,180,373
Addison Police Dept,TX,12,13837,94,1,7,,29,57
Alamo Police Dept,TX,12,16686,98,0,9,,18,71
Alice Police Dept,TX,12,19855,181,0,8,,11,162
Allen Police Dept,TX,12,83242,67,1,8,,13,45
Alton City Police Dept,TX,12,10876,21,0,1,,5,15
Alvin Police Dept,TX,12,22847,65,2,4,,23,36
Amarillo Police Dept,TX,12,187674,1473,13,122,,323,1015
Andrews Police Dept,TX,12,9708,51,0,13,,2,36
Angleton Police Dept,TX,12,18703,86,1,9,,18,58
Arlington Police Dept,TX,12,375836,2262,23,141,,694,1404
Athens Police Dept,TX,12,12348,66,0,11,,14,41
Austin Police Dept,TX,12,753535,3935,23,273,,1333,2306
Azle Police Dept,TX,12,11371,45,0,3,,14,28
Balch Springs Police Dept,TX,12,20011,175,2,21,,56,96
Bay City Police Dept,TX,12,17705,102,1,8,,45,48
Baytown Police Dept,TX,12,70596,324,6,41,,100,177
Beaumont Police Dept,TX,12,109103,1015,7,75,,331,602
Bedford Police Dept,TX,12,49210,246,0,20,,25,201
Beeville Police Dept,TX,12,12697,69,0,10,,8,51
Bellaire Police Dept,TX,12,18316,28,0,1,,22,5
Bellmead Police Dept,TX,12,9593,130,1,19,,21,89
Belton Police Dept,TX,12,17536,37,0,0,,5,32
Benbrook Police Dept,TX,12,23017,28,1,6,,4,17
Big Spring Police Dept,TX,12,23952,159,2,16,,33,108
Boerne Police Dept,TX,12,9875,21,0,7,,5,9
Borger Police Dept,TX,12,12744,202,0,9,,7,186
Brenham Police Dept,TX,12,15237,72,2,15,,11,44
Brownsville Police Dept,TX,12,176893,634,4,26,,173,431
Brownwood Police Dept,TX,12,19597,87,0,5,,5,77
Bryan Police Dept,TX,12,72815,573,4,41,,100,428
Burkburnett Police Dept,TX,12,10506,14,0,1,,0,13
Burleson Police Dept,TX,12,35166,72,0,12,,16,44
Canyon Police Dept,TX,12,14202,9,0,2,,0,7
Carrollton Police Dept,TX,12,125607,293,4,17,,134,138
Cedar Hill Police Dept,TX,12,46153,123,4,11,,42,66
Cedar Park City Police Dept,TX,12,64020,63,0,10,,9,44
Cibolo Police Dept,TX,12,14734,14,0,3,,0,11
Cleburne Police Dept,TX,12,29954,139,0,28,,16,95
Clute Police Dept,TX,12,10777,54,0,9,,9,36
College Station Police Dept,TX,12,81925,245,1,42,,55,147
Colleyville Police Dept,TX,12,24472,4,0,0,,0,4
Conroe Police Dept,TX,12,54554,254,3,26,,78,147
Converse Police Dept,TX,12,16057,24,0,2,,11,11
Coppell Police Dept,TX,12,39541,27,0,2,,13,12
Copperas Cove Police Dept,TX,12,30052,127,0,5,,19,103
Corinth City Police Dept,TX,12,21890,21,0,4,,2,15
Corpus Christi Police Dept,TX,12,286558,2226,19,192,,490,1525
Corsicana Police Dept,TX,12,26711,97,0,16,,31,50
Crowley Police Dept,TX,12,12680,19,0,4,,2,13
Dallas Police Dept,TX,12,1276214,11420,170,499,,6466,4285
Deer Park Police Dept,TX,12,30900,85,1,12,,11,61
Del Rio Police Dept,TX,12,36922,92,2,0,,9,81
Denison Police Dept,TX,12,24276,112,2,1,,24,85
Denton Police Dept,TX,12,120295,346,0,66,,90,190
De Soto Police Dept,TX,12,48131,163,6,8,,46,103
Dickinson City Police Dept,TX,12,17884,62,0,5,,18,39
Donna City Police Dept,TX,12,16984,117,1,4,,17,95
Dumas Police Dept,TX,12,13698,55,0,12,,7,36
Duncanville Police Dept,TX,12,36221,138,1,6,,74,57
Eagle Pass Police Dept,TX,12,26766,66,0,0,,8,58
Edinburg Police Dept,TX,12,71734,285,3,21,,69,192
El Campo Police Dept,TX,12,10612,31,0,4,,4,23
El Paso Police Dept,TX,12,612374,2825,17,181,,456,2171
Ennis Police Dept,TX,12,19646,123,5,1,,28,89
Euless Police Dept,TX,12,53157,134,0,18,,53,63
Farmers Branch Police Dept,TX,12,26362,76,1,4,,44,27
Flower Mound Police Dept,TX,12,70761,54,0,2,,13,39
Forest Hill Police Dept,TX,12,13926,97,0,10,,34,53
Forney Police Dept,TX,12,15855,18,0,3,,4,11
Fort Worth Police Dept,TX,12,701345,4627,49,373,,1706,2499
Fredericksburg Police Dept,TX,12,11110,10,0,2,,3,5
Freeport Police Dept,TX,12,12539,37,2,1,,6,28
Friendswood Police Dept,TX,12,34066,36,1,3,,6,26
Frisco Police Dept,TX,12,99472,105,1,14,,11,79
Gainesville Police Dept,TX,12,16650,79,1,18,,23,37
Galena Park Police Dept,TX,12,10243,16,1,3,,4,8
Galveston Police Dept,TX,12,56870,443,4,78,,145,216
Garland Police Dept,TX,12,219135,773,10,81,,325,357
Gatesville Police Dept,TX,12,15139,21,0,5,,3,13
Georgetown Police Dept,TX,12,49644,66,1,12,,9,44
Glenn Heights Police Dept,TX,12,11339,41,1,3,,3,34
Grand Prairie Police Dept,TX,12,162706,545,7,49,,216,273
Grapevine Police Dept,TX,12,51136,102,0,14,,20,68
Greenville Police Dept,TX,12,25886,264,0,17,,73,174
Groves Police Dept,TX,12,14321,43,0,6,,16,21
Haltom City Police Dept,TX,12,40239,191,3,16,,44,128
Harker Heights Police Dept,TX,12,25579,48,1,3,,24,20
Harlingen Police Dept,TX,12,64922,455,4,33,,88,330
Henderson Police Dept,TX,12,11644,98,0,6,,21,71
Hereford Police Dept,TX,12,14444,77,2,1,,8,66
Hewitt Police Dept,TX,12,13788,25,0,1,,4,20
Hidalgo Police Dept,TX,12,12238,14,0,1,,1,12
Highland Village Police Dept,TX,12,17004,13,1,1,,1,10
Horizon City Police Dept,TX,12,13488,19,0,1,,3,15
Houston Police Dept,TX,12,2238895,24779,294,750,,10603,13132
Humble Police Dept,TX,12,15026,116,0,8,,59,49
Huntsville Police Dept,TX,12,38097,176,0,13,,35,128
Hurst Police Dept,TX,12,38702,192,1,16,,40,135
Hutto Police Dept,TX,12,15488,12,1,0,,0,11
Irving Police Dept,TX,12,200470,722,7,31,,238,446
Jacinto City Police Dept,TX,12,9949,38,0,1,,14,23
Jacksonville Police Dept,TX,12,14302,118,0,12,,27,79
Katy Police Dept,TX,12,14106,42,0,0,,9,33
Keller Police Dept,TX,12,39598,17,0,4,,5,8
Kerrville Police Dept,TX,12,22942,73,0,9,,10,54
Kilgore Police Dept,TX,12,12120,50,0,2,,17,31
Killeen Police Dept,TX,12,115906,885,10,66,,216,593
Kingsville Police Dept,TX,12,24253,208,1,21,,16,170
Kyle Police Dept,TX,12,28543,33,0,2,,0,31
La Marque Police Dept,TX,12,14072,145,1,26,,44,74
La Porte Police Dept,TX,12,34552,166,0,5,,11,150
Lake Jackson Police Dept,TX,12,27603,47,0,10,,15,22
Lakeway Police Dept,TX,12,10976,18,0,2,,1,15
Lancaster Police Dept,TX,12,36584,131,3,11,,43,74
Laredo,TX,12,222870,1357,10,78,,311,958
League City Police Dept,TX,12,71651,96,3,17,,32,44
Leander City Police Dept,TX,12,26680,32,0,0,,3,29
Leon Valley Police Dept,TX,12,10152,32,0,4,,15,13
Levelland Police Dept,TX,12,12399,96,0,16,,8,72
Lewisville Police Dept,TX,12,100947,235,1,26,,90,118
Little Elm Police Dept,TX,12,29616,21,0,1,,4,16
Live Oak City Police Dept,TX,12,12958,23,0,3,,9,11
Lockhart Police Dept,TX,12,13869,77,0,8,,7,62
Longview Police Dept,TX,12,77272,808,9,46,,219,534
Lubbock Police Dept,TX,12,219594,2098,8,82,,298,1710
Lufkin Police Dept,TX,12,34214,176,1,12,,48,115
Lumberton,TX,12,10243,9,0,0,,3,6
Mansfield Police Dept,TX,12,46560,79,1,9,,27,42
Marshall Police Dept,TX,12,23874,157,3,8,,35,111
McAllen Police Dept,TX,12,130039,371,9,18,,135,209
Mckinney Police Dept,TX,12,126659,272,3,54,,42,173
The Village Police Dept,TX,12,11907,9,0,1,,7,1
Mercedes Police Dept,TX,12,15066,111,2,8,,15,86
Mesquite Police Dept,TX,12,132600,492,3,10,,170,309
Midland Police Dept,TX,12,105049,420,4,66,,94,256
Midlothian Police Dept,TX,12,16847,42,0,6,,6,30
Mineral Wells Police Dept,TX,12,16804,92,0,23,,9,60
Mission Police Dept,TX,12,68236,118,5,2,,53,58
Missouri City Police Dept,TX,12,77075,169,4,20,,57,88
Mount Pleasant Police Dept,TX,12,14853,70,1,1,,14,54
Murphy City Police Dept,TX,12,16612,9,0,1,,1,7
Nacogdoches Police Dept,TX,12,32265,97,0,14,,21,62
Nederland Police Dept,TX,12,16033,28,1,5,,4,18
New Braunfels Police Dept,TX,12,53803,134,4,5,,33,92
North Richland Hills Police Dept,TX,12,65552,272,2,20,,49,201
Odessa Police Dept,TX,12,97644,675,7,2,,73,593
Orange Police Dept,TX,12,17287,212,0,21,,75,116
Palestine Police Dept,TX,12,18197,140,1,13,,19,107
Pampa Police Dept,TX,12,17140,141,2,3,,6,130
Paris Police Dept,TX,12,26121,160,1,5,,45,109
Pasadena Police Dept,TX,12,147114,645,11,60,,164,410
Pearland Police Dept,TX,12,83185,112,1,24,,21,66
Pflugerville Police Dept,TX,12,37454,38,0,12,,7,19
Pharr Police Dept,TX,12,66084,260,3,20,,80,157
Plainview Police Dept,TX,12,21574,82,1,9,,7,65
Plano Police Dept,TX,12,265739,605,7,48,,144,406
Port Arthur Police Dept,TX,12,55032,403,9,35,,126,233
Port Lavaca Police Dept,TX,12,11379,36,0,2,,1,33
