Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Port Neches Police Dept,TX,12,12574,35,0,4,,5,26
Portland Police Dept,TX,12,16604,17,0,4,,2,11
Prosper,TX,12,7007,0,0,0,,0,0
Raymondville Police Dept,TX,12,9475,259,1,1,,15,242
Red Oak Police Dept,TX,12,9323,20,0,2,,6,12
Richardson Police Dept,TX,12,100597,270,4,23,,112,131
Richmond Police Dept,TX,12,13637,54,0,10,,10,34
Rio Grande Police Dept,TX,12,14080,57,0,5,,5,47
Robinson Police Dept,TX,12,10358,28,1,3,,1,23
Robstown Police Dept,TX,12,12132,22,0,0,,11,11
Rockport Police Dept,TX,12,9622,19,1,3,,2,13
Rockwall Police Dept,TX,12,36467,51,1,7,,11,32
Rosenberg Police Dept,TX,12,34273,87,0,18,,24,45
Round Rock Police Dept,TX,12,102411,128,0,19,,30,79
Rowlett Police Dept,TX,12,57010,76,0,16,,16,44
Royse City Police Dept,TX,12,9597,38,0,6,,3,29
Sachse City Police Dept,TX,12,19651,21,0,2,,8,11
Saginaw Police Dept,TX,12,20765,53,1,3,,12,37
San Angelo Police Dept,TX,12,90739,371,6,64,,66,235
San Antonio Police Dept,TX,12,1351244,9699,116,424,,2743,6416
San Benito Police Dept,TX,12,24807,87,1,9,,17,60
San Juan Police Dept,TX,12,34103,128,1,3,,36,88
San Marcos Police Dept,TX,12,52473,161,0,14,,34,113
Santa Fe City Police Dept,TX,12,10603,23,0,6,,5,12
Schertz Police Dept,TX,12,30609,81,0,20,,15,46
Seabrook Police Dept,TX,12,11760,20,0,5,,3,12
Seagoville Police Dept,TX,12,11867,29,1,1,,8,19
Seguin Police Dept,TX,12,26348,127,0,11,,28,88
Sherman Police Dept,TX,12,38039,153,0,3,,18,132
Snyder Police Dept,TX,12,10418,126,0,11,,1,114
Socorro Police Dept,TX,12,32444,81,0,3,,18,60
South Houston Police Dept,TX,12,16496,126,0,7,,44,75
Southlake Police Dept,TX,12,26837,13,0,0,,4,9
Stafford Police Dept,TX,12,20051,65,1,7,,27,30
Stephenville Police Dept,TX,12,16945,46,0,13,,2,31
Sugar Land Police Dept,TX,12,81763,138,0,5,,46,87
Sulphur Springs Police Dept,TX,12,15493,53,0,7,,12,34
Sweetwater Police Dept,TX,12,10365,140,0,10,,7,123
Taylor Police Dept,TX,12,16048,11,1,2,,4,4
Temple Police Dept,TX,12,58812,243,3,27,,107,106
Terrell Police Dept,TX,12,19722,101,3,7,,47,44
Texarkana Police Dept,TX,12,36300,467,2,18,,74,373
Texas City Police Dept,TX,12,44768,184,5,13,,92,74
The Colony City Police Dept,TX,12,43724,55,1,11,,15,28
Tomball Police Dept,TX,12,10412,43,0,8,,11,24
Trophy Club Police Dept,TX,12,8141,0,0,0,,0,0
Tyler Police Dept,TX,12,98042,635,3,48,,123,461
Universal City Police Dept,TX,12,18430,47,1,2,,12,32
University Park Police Dept,TX,12,24561,5,0,2,,2,1
Uvalde Police Dept,TX,12,16263,86,0,8,,17,61
Vernon Police Dept,TX,12,10998,44,0,6,,3,35
Victoria Police Dept,TX,12,62464,435,1,40,,66,328
Vidor Police Dept,TX,12,10901,40,0,3,,7,30
Waco Police Dept,TX,12,123208,1031,11,75,,252,693
Watauga Police Dept,TX,12,24114,80,0,2,,14,64
Waxahachie Police Dept,TX,12,28110,119,2,7,,27,83
Weatherford Police Dept,TX,12,26696,48,1,15,,7,25
Webster Police Dept,TX,12,10196,47,1,7,,24,15
Weslaco Police Dept,TX,12,33096,162,3,14,,48,97
West University Place Police Dept,TX,12,15578,11,0,2,,4,5
