Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Corinth City Police Dept,TX,12,20810,19,0,,3,2,14
Corpus Christi Police Dept,TX,12,319211,2094,27,,280,377,1410
Corsicana Police Dept,TX,12,23976,120,0,,14,31,75
Crowley Police Dept,TX,12,14413,33,3,,0,5,25
Dallas Police Dept,TX,12,1272396,8457,116,,781,3856,3704
Deer Park Police Dept,TX,12,33523,46,0,,12,13,21
Del Rio Police Dept,TX,12,35564,48,0,,0,4,44
Denison Police Dept,TX,12,22838,88,0,,17,16,55
Denton Police Dept,TX,12,125248,338,2,,104,55,177
De Soto Police Dept,TX,12,52038,147,0,,14,58,75
Dickinson City Police Dept,TX,12,19429,54,0,,8,14,32
Donna City Police Dept,TX,12,16374,166,0,,5,16,145
Dumas Police Dept,TX,12,15010,38,0,,4,2,32
Duncanville Police Dept,TX,12,39859,125,3,,11,58,53
Eagle Pass Police Dept,TX,12,28036,36,0,,1,3,32
Edinburg Police Dept,TX,12,82349,296,1,,66,48,181
El Campo Police Dept,TX,12,11455,50,1,,6,4,39
El Paso Police Dept,TX,12,680273,2671,21,,335,415,1900
Ennis Police Dept,TX,12,18743,56,0,,6,12,38
Euless Police Dept,TX,12,53674,64,0,,8,27,29
Farmers Branch Police Dept,TX,12,32478,61,0,,11,28,22
Flower Mound Police Dept,TX,12,69572,38,2,,11,8,17
Forest Hill Police Dept,TX,12,12781,32,0,,3,18,11
Forney Police Dept,TX,12,17167,26,0,,2,2,22
Fort Worth Police Dept,TX,12,804907,4492,53,,570,1140,2729
Fredericksburg Police Dept,TX,12,10898,7,0,,0,1,6
Freeport Police Dept,TX,12,12104,40,2,,4,8,26
Friendswood Police Dept,TX,12,38012,21,0,,11,2,8
Frisco Police Dept,TX,12,141940,118,4,,21,20,73
Gainesville Police Dept,TX,12,16036,78,1,,10,22,45
Galena Park Police Dept,TX,12,11159,28,0,,6,8,14
Galveston Police Dept,TX,12,48961,256,6,,51,105,94
Garland Police Dept,TX,12,236414,644,5,,96,312,231
Gatesville Police Dept,TX,12,15991,15,0,,6,1,8
Georgetown Police Dept,TX,12,56782,67,0,,19,11,37
Glenn Heights Police Dept,TX,12,11869,44,0,,6,9,29
Grand Prairie Police Dept,TX,12,185273,482,4,,74,163,241
Grapevine Police Dept,TX,12,51135,62,0,,9,10,43
Greenville Police Dept,TX,12,25983,143,6,,27,44,66
Groves Police Dept,TX,12,15729,95,0,,10,19,66
Haltom City Police Dept,TX,12,43856,108,0,,34,25,49
Harker Heights Police Dept,TX,12,28484,76,0,,12,27,37
Harlingen Police Dept,TX,12,65808,146,0,,11,34,101
Henderson Police Dept,TX,12,13693,62,0,,3,6,53
Hereford Police Dept,TX,12,15158,47,0,,7,7,33
Hewitt Police Dept,TX,12,14166,16,0,,5,3,8
Hidalgo Police Dept,TX,12,13446,49,0,,5,2,42
Highland Village Police Dept,TX,12,15908,7,0,,2,0,5
Horizon City Police Dept,TX,12,19564,9,0,,0,1,8
Houston Police Dept,TX,12,2219933,22008,242,,812,10186,10768
Humble Police Dept,TX,12,15588,106,0,,14,49,43
Huntsville Police Dept,TX,12,40059,211,1,,37,24,149
Hurst Police Dept,TX,12,38709,143,2,,22,38,81
Hutto Police Dept,TX,12,20567,13,0,,5,1,7
Irving Police Dept,TX,12,231708,512,5,,36,175,296
Jacinto City Police Dept,TX,12,10794,10,0,,0,8,2
Jacksonville Police Dept,TX,12,14755,105,0,,14,17,74
Katy Police Dept,TX,12,15238,44,0,,13,16,15
Keller Police Dept,TX,12,43711,24,1,,7,0,16
Kerrville Police Dept,TX,12,22728,71,1,,18,4,48
Kilgore Police Dept,TX,12,14789,51,1,,5,6,39
Killeen Police Dept,TX,12,139211,846,10,,114,196,526
Kingsville Police Dept,TX,12,26329,191,0,,3,17,171
Kyle Police Dept,TX,12,32649,67,0,,12,3,52
La Marque Police Dept,TX,12,15303,75,0,,6,24,45
La Porte Police Dept,TX,12,34852,70,0,,29,12,29
Lake Jackson Police Dept,TX,12,27536,35,0,,8,17,10
Lakeway Police Dept,TX,12,13554,18,0,,4,0,14
Lancaster Police Dept,TX,12,38402,106,0,,16,46,44
Laredo,TX,12,250994,976,14,,99,196,667
League City Police Dept,TX,12,92790,98,3,,30,26,39
Leander City Police Dept,TX,12,33112,38,0,,10,1,27
Leon Valley Police Dept,TX,12,10961,41,0,,8,14,19
Levelland Police Dept,TX,12,14042,61,0,,12,3,46
Lewisville Police Dept,TX,12,102439,201,1,,34,56,110
Little Elm Police Dept,TX,12,34603,41,0,,6,1,34
Live Oak City Police Dept,TX,12,15160,33,0,,8,2,23
Lockhart Police Dept,TX,12,13185,25,0,,3,7,15
Longview Police Dept,TX,12,81659,376,7,,33,83,253
Lubbock Police Dept,TX,12,241826,2084,12,,128,333,1611
Lufkin Police Dept,TX,12,36327,157,1,,0,49,107
Lumberton,TX,12,12228,26,1,,6,0,19
Mansfield Police Dept,TX,12,61935,59,0,,9,21,29
Marshall Police Dept,TX,12,24749,153,3,,9,24,117
McAllen Police Dept,TX,12,138122,181,6,,18,68,89
Mckinney Police Dept,TX,12,152806,224,3,,42,60,119
The Village Police Dept,TX,12,11848,4,0,,0,4,0
Mercedes Police Dept,TX,12,16488,102,1,,10,10,81
Mesquite Police Dept,TX,12,144396,432,4,,53,191,184
Midland Police Dept,TX,12,127344,407,7,,36,65,299
Midlothian Police Dept,TX,12,20348,28,0,,7,2,19
Mineral Wells Police Dept,TX,12,16770,44,0,,7,7,30
Mission Police Dept,TX,12,81871,95,0,,5,30,60
Missouri City Police Dept,TX,12,70853,126,1,,17,35,73
Mount Pleasant Police Dept,TX,12,16136,78,0,,18,10,50
Murphy City Police Dept,TX,12,19914,13,2,,3,1,7
Nacogdoches Police Dept,TX,12,34096,110,3,,24,14,69
Nederland Police Dept,TX,12,17571,63,0,,12,9,42
New Braunfels Police Dept,TX,12,64622,182,1,,9,21,151
North Richland Hills Police Dept,TX,12,68309,120,0,,18,26,76
Odessa Police Dept,TX,12,113619,1068,11,,65,148,844
Orange Police Dept,TX,12,18995,72,2,,0,32,38
Palestine Police Dept,TX,12,18579,109,0,,21,16,72
Pampa Police Dept,TX,12,18520,105,0,,0,7,98
Paris Police Dept,TX,12,24844,139,1,,5,28,105
Pasadena Police Dept,TX,12,153540,591,7,,93,154,337
Pearland Police Dept,TX,12,102516,160,2,,42,28,88
Pflugerville Police Dept,TX,12,55101,61,0,,18,9,34
Pharr Police Dept,TX,12,74555,291,1,,32,37,221
Plainview Police Dept,TX,12,21765,53,0,,6,7,40
Plano Police Dept,TX,12,277822,459,4,,80,156,219
Port Arthur Police Dept,TX,12,54178,341,8,,29,114,190
Port Lavaca Police Dept,TX,12,12414,66,1,,15,1,49
Port Neches Police Dept,TX,12,12726,56,0,,13,1,42
Portland Police Dept,TX,12,15879,22,0,,1,5,16
Prosper,TX,12,13916,17,0,,4,0,13
Raymondville Police Dept,TX,12,11113,123,0,,4,6,113
Red Oak Police Dept,TX,12,11352,12,0,,0,7,5
Richardson Police Dept,TX,12,105744,179,1,,22,75,81
Richmond Police Dept,TX,12,11921,48,1,,5,8,34
Rio Grande Police Dept,TX,12,14065,34,0,,6,7,21
Robinson Police Dept,TX,12,11488,29,0,,1,1,27
Robstown Police Dept,TX,12,11742,133,0,,0,11,122
Rockport Police Dept,TX,12,10208,31,0,,3,4,24
Rockwall Police Dept,TX,12,41688,41,0,,7,5,29
Rosenberg Police Dept,TX,12,33598,92,0,,16,20,56
Round Rock Police Dept,TX,12,112199,140,0,,29,39,72
Rowlett Police Dept,TX,12,58474,74,2,,13,8,51
Royse City Police Dept,TX,12,10491,11,0,,3,0,8
Sachse City Police Dept,TX,12,22434,18,0,,6,8,4
Saginaw Police Dept,TX,12,21607,49,0,,18,11,20
San Angelo Police Dept,TX,12,98477,327,4,,49,38,236
San Antonio Police Dept,TX,12,1428465,7704,103,,1077,1777,4747
San Benito Police Dept,TX,12,24392,68,0,,1,14,53
San Juan Police Dept,TX,12,35982,195,2,,44,17,132
San Marcos Police Dept,TX,12,56623,180,0,,43,34,103
Santa Fe City Police Dept,TX,12,12701,22,1,,5,5,11
Schertz Police Dept,TX,12,36961,65,1,,13,12,39
Seabrook Police Dept,TX,12,12816,9,0,,0,7,2
Seagoville Police Dept,TX,12,15660,22,1,,0,9,12
Seguin Police Dept,TX,12,27031,95,0,,30,19,46
Sherman Police Dept,TX,12,39522,142,0,,25,22,95
Snyder Police Dept,TX,12,11610,75,2,,6,0,67
Socorro Police Dept,TX,12,32624,42,0,,2,5,35
South Houston Police Dept,TX,12,17494,81,2,,3,35,41
Southlake Police Dept,TX,12,28640,7,0,,0,1,6
Stafford Police Dept,TX,12,18224,78,4,,9,17,48
Stephenville Police Dept,TX,12,18947,36,0,,6,0,30
Sugar Land Police Dept,TX,12,85055,99,1,,6,36,56
Sulphur Springs Police Dept,TX,12,15967,36,0,,8,6,22
Sweetwater Police Dept,TX,7,10723,54,0,,9,6,39
Taylor Police Dept,TX,12,16449,61,0,,9,4,48
Temple Police Dept,TX,12,71049,178,5,,23,62,88
Terrell Police Dept,TX,12,16466,92,0,,13,15,64
Texarkana Police Dept,TX,12,37687,325,1,,41,64,219
Texas City Police Dept,TX,12,46273,150,2,,10,48,90
The Colony City Police Dept,TX,12,40228,54,0,,17,9,28
Tomball Police Dept,TX,12,11214,42,0,,7,15,20
Trophy Club Police Dept,TX,12,11129,7,0,,2,0,5
Tyler Police Dept,TX,12,100969,467,1,,50,102,314
Universal City Police Dept,TX,12,19570,45,1,,4,15,25
University Park Police Dept,TX,12,24219,4,0,,1,0,3
Uvalde Police Dept,TX,12,16411,75,0,,5,6,64
Vernon Police Dept,TX,12,10589,23,0,,6,1,16
Victoria Police Dept,TX,12,65726,339,2,,65,38,234
Vidor Police Dept,TX,12,10954,52,1,,1,4,46
Waco Police Dept,TX,12,129944,576,6,,101,138,331
Watauga Police Dept,TX,12,24348,23,0,,3,4,16
Waxahachie Police Dept,TX,12,32053,29,0,,0,12,17
Weatherford Police Dept,TX,12,27427,47,0,,6,7,34
Webster Police Dept,TX,12,11099,28,0,,10,10,8
Weslaco Police Dept,TX,12,37458,452,1,,18,55,378
West University Place Police Dept,TX,12,15509,2,0,,0,1,1
