Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,120686,571,7,,93,128,343
Addison Police Dept,TX,12,16061,67,0,,8,15,44
Alamo Police Dept,TX,12,19054,145,1,,6,13,125
Alice Police Dept,TX,12,19689,143,1,,8,6,128
Allen Police Dept,TX,12,93889,73,0,,23,19,31
Alton City Police Dept,TX,12,15311,10,0,,1,4,5
Alvin Police Dept,TX,12,25252,67,1,,21,17,28
Amarillo Police Dept,TX,12,197724,1353,7,,238,283,825
Andrews Police Dept,TX,12,13153,80,1,,13,4,62
Angleton Police Dept,TX,12,19020,52,1,,13,4,34
Arlington Police Dept,TX,12,382976,1854,13,,206,493,1142
Athens Police Dept,TX,12,12823,44,1,,14,6,23
Austin Police Dept,TX,12,903924,3581,32,,571,873,2105
Azle Police Dept,TX,12,11426,39,1,,0,8,30
Balch Springs Police Dept,TX,12,25305,233,2,,15,30,186
Bay City Police Dept,TX,12,17480,55,0,,6,13,36
Baytown Police Dept,TX,12,76253,241,5,,32,84,120
Beaumont Police Dept,TX,12,117898,1050,16,,91,293,650
Bedford Police Dept,TX,12,48977,224,1,,21,28,174
Beeville Police Dept,TX,12,13397,28,0,,0,1,27
Bellaire Police Dept,TX,12,18093,25,0,,3,13,9
Bellmead Police Dept,TX,12,10077,171,0,,13,15,143
Belton Police Dept,TX,12,19858,40,1,,6,10,23
Benbrook Police Dept,TX,12,22439,28,2,,2,4,20
Big Spring Police Dept,TX,12,28338,216,1,,5,36,174
Boerne Police Dept,TX,12,12853,31,0,,7,3,21
Borger Police Dept,TX,12,12974,113,2,,6,5,100
Brenham Police Dept,TX,12,16188,53,1,,6,10,36
Brownsville Police Dept,TX,12,183433,558,5,,103,138,312
Brownwood Police Dept,TX,12,18890,68,1,,12,6,49
Bryan Police Dept,TX,12,79267,338,5,,68,58,207
Buda,TX,12,11020,13,0,,3,5,5
Burkburnett Police Dept,TX,12,11035,21,0,,4,2,15
Burleson Police Dept,TX,12,41733,69,0,,18,9,42
Canyon Police Dept,TX,12,14055,9,0,,2,0,7
Carrollton Police Dept,TX,12,128577,166,1,,6,54,105
Cedar Hill Police Dept,TX,12,47057,93,0,,13,28,52
Cedar Park City Police Dept,TX,12,63681,67,1,,35,7,24
Cibolo Police Dept,TX,12,24846,15,0,,1,3,11
Cleburne Police Dept,TX,12,29734,76,1,,15,8,52
Clute Police Dept,TX,12,11305,15,1,,0,0,14
College Station Police Dept,TX,12,101483,191,0,,45,31,115
Colleyville Police Dept,TX,12,24915,10,1,,2,0,7
Conroe Police Dept,TX,12,64446,207,2,,29,71,105
Converse Police Dept,TX,12,20833,88,0,,16,6,66
Coppell Police Dept,TX,12,40746,23,0,,7,8,8
Copperas Cove Police Dept,TX,12,33366,112,1,,11,17,83
