Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
El Paso Police Dept,TX,12,616029,2574,17,258,,472,1827
Ennis Police Dept,TX,12,19520,104,0,6,,22,76
Euless Police Dept,TX,12,52899,115,2,0,,42,71
Farmers Branch Police Dept,TX,12,26455,77,0,5,,45,27
Flower Mound Police Dept,TX,12,68191,48,5,4,,3,36
Forest Hill Police Dept,TX,12,13771,78,0,2,,31,45
Forney Police Dept,TX,12,14020,22,0,3,,5,14
Fort Worth Police Dept,TX,12,670693,4477,58,336,,1623,2460
Fredericksburg Police Dept,TX,12,11004,5,1,0,,0,4
Freeport Police Dept,TX,12,12588,63,1,6,,8,48
Friendswood Police Dept,TX,12,34140,38,0,2,,7,29
Frisco Police Dept,TX,12,90674,92,1,10,,20,61
Gainesville Police Dept,TX,12,16710,92,1,15,,18,58
Galena Park Police Dept,TX,12,10177,26,0,1,,7,18
Galveston Police Dept,TX,12,57590,584,7,81,,209,287
Garland Police Dept,TX,12,218236,763,7,52,,323,381
Gatesville Police Dept,TX,12,15450,34,0,4,,4,26
Georgetown Police Dept,TX,12,44834,65,0,16,,9,40
Glenn Heights Police Dept,TX,12,10739,33,1,1,,3,28
Grand Prairie Police Dept,TX,12,157913,608,6,74,,225,303
Grapevine Police Dept,TX,12,49498,88,0,11,,32,45
Greenville Police Dept,TX,12,26130,189,5,8,,51,125
Groves Police Dept,TX,12,14610,39,0,3,,20,16
Haltom City Police Dept,TX,12,40114,153,3,16,,36,98
Harker Heights Police Dept,TX,12,23726,51,1,9,,21,20
Harlingen Police Dept,TX,12,64984,334,7,28,,63,236
Henderson Police Dept,TX,12,11633,95,1,10,,15,69
Hereford Police Dept,TX,12,14528,62,0,2,,2,58
Hewitt Police Dept,TX,12,13522,28,0,6,,4,18
Hidalgo Police Dept,TX,12,12008,16,0,1,,6,9
Highland Village Police Dept,TX,12,16298,16,0,2,,2,12
Horizon City Police Dept,TX,12,11855,13,0,1,,4,8
Houston Police Dept,TX,12,2169544,24564,351,694,,11479,12040
Humble Police Dept,TX,12,14977,125,0,9,,68,48
Huntsville Police Dept,TX,12,37906,168,1,14,,44,109
Hurst Police Dept,TX,12,38452,204,0,16,,42,146
Hutto Police Dept,TX,12,12635,22,0,5,,0,17
Irving Police Dept,TX,12,196676,729,9,30,,240,450
Jacinto City Police Dept,TX,12,9890,89,0,3,,18,68
Jacksonville Police Dept,TX,12,14481,106,1,18,,27,60
Katy Police Dept,TX,12,13830,59,0,1,,14,44
Keller Police Dept,TX,12,38439,19,1,4,,5,9
Kerrville Police Dept,TX,12,22636,73,0,13,,11,49
Kilgore Police Dept,TX,12,12152,60,0,12,,14,34
Killeen Police Dept,TX,12,104188,815,12,82,,202,519
Kingsville Police Dept,TX,12,24235,243,1,12,,17,213
Kyle Police Dept,TX,12,24778,19,0,0,,0,19
La Marque Police Dept,TX,12,14081,121,3,21,,26,71
La Porte Police Dept,TX,12,34165,92,0,4,,10,78
Lake Jackson Police Dept,TX,12,27788,56,1,5,,18,32
Lakeway Police Dept,TX,12,9774,13,0,1,,0,12
Lancaster Police Dept,TX,12,35090,204,1,19,,16,168
Laredo,TX,12,221253,1281,10,81,,325,865
League City Police Dept,TX,12,68743,87,0,18,,24,45
Leander City Police Dept,TX,12,23175,40,0,0,,3,37
Leon Valley Police Dept,TX,12,9876,41,0,4,,14,23
Levelland Police Dept,TX,12,12653,81,0,11,,4,66
Lewisville Police Dept,TX,12,97184,185,1,21,,73,90
Little Elm Police Dept,TX,12,26824,28,0,2,,2,24
Live Oak City Police Dept,TX,12,12117,23,0,3,,6,14
Lockhart Police Dept,TX,12,13946,83,2,7,,2,72
Longview Police Dept,TX,12,77003,740,5,55,,189,491
Lubbock Police Dept,TX,12,213988,1953,15,101,,259,1578
Lufkin Police Dept,TX,12,33997,198,3,18,,50,127
Lumberton,TX,12,9853,11,0,4,,2,5
Mansfield Police Dept,TX,12,43901,82,0,7,,29,46
Marshall Police Dept,TX,12,23978,191,4,27,,48,112
McAllen Police Dept,TX,12,129455,372,6,27,,114,225
Mckinney Police Dept,TX,12,118113,255,1,49,,44,161
The Village Police Dept,TX,12,11714,5,0,0,,3,2
Mercedes Police Dept,TX,12,14879,94,4,1,,10,79
Mesquite Police Dept,TX,12,132399,577,6,8,,199,364
Midland Police Dept,TX,12,103118,343,4,57,,76,206
Midlothian Police Dept,TX,12,15600,17,1,2,,4,10
Mineral Wells Police Dept,TX,12,17083,60,0,14,,3,43
Mission Police Dept,TX,12,66216,94,2,8,,32,52
Missouri City Police Dept,TX,12,77166,163,0,6,,63,94
Mount Pleasant Police Dept,TX,12,15360,67,1,2,,14,50
Murphy City Police Dept,TX,12,15497,7,0,1,,2,4
Nacogdoches Police Dept,TX,12,31300,107,0,19,,26,62
Nederland Police Dept,TX,12,16325,52,0,9,,11,32
New Braunfels Police Dept,TX,12,51860,158,1,10,,35,112
North Richland Hills Police Dept,TX,12,63270,266,2,28,,36,200
Odessa Police Dept,TX,12,95839,529,6,7,,92,424
Orange Police Dept,TX,12,17793,208,2,10,,54,142
Palestine Police Dept,TX,12,18250,121,1,3,,22,95
Pampa Police Dept,TX,12,16998,114,1,19,,3,91
Paris Police Dept,TX,12,26583,140,1,1,,21,117
Pasadena Police Dept,TX,12,145235,635,2,75,,149,409
Pearland Police Dept,TX,12,73190,125,2,26,,32,65
Pflugerville Police Dept,TX,12,32157,53,0,17,,7,29
Pharr Police Dept,TX,12,63666,249,7,23,,64,155
Plainview Police Dept,TX,12,22054,87,0,9,,19,59
Plano Police Dept,TX,12,259771,670,2,51,,160,457
Port Arthur Police Dept,TX,12,55481,475,9,47,,196,223
Port Lavaca Police Dept,TX,12,11658,21,0,3,,2,16
Port Neches Police Dept,TX,12,12803,29,1,1,,4,23
Portland Police Dept,TX,12,16645,20,1,6,,2,11
Prosper,TX,12,5828,0,0,0,,0,0
Raymondville Police Dept,TX,12,9554,239,1,13,,8,217
Red Oak Police Dept,TX,12,8538,17,1,1,,2,13
Richardson Police Dept,TX,12,100933,289,2,22,,136,129
Richmond Police Dept,TX,12,13979,70,0,11,,15,44
Rio Grande Police Dept,TX,12,14098,54,1,2,,7,44
Robinson Police Dept,TX,12,10011,14,0,8,,2,4
Robstown Police Dept,TX,12,12361,78,0,3,,19,56
Rockport Police Dept,TX,12,9464,13,0,0,,5,8
Rockwall Police Dept,TX,12,34872,36,0,11,,6,19
Rosenberg Police Dept,TX,12,33131,96,0,14,,28,54
Round Rock Police Dept,TX,12,97727,112,1,21,,23,67
Rowlett Police Dept,TX,12,56432,73,0,9,,7,57
Royse City Police Dept,TX,12,8086,47,0,3,,0,44
Sachse City Police Dept,TX,12,19028,21,0,3,,3,15
Saginaw Police Dept,TX,12,19818,37,0,7,,1,29
San Angelo Police Dept,TX,12,88285,364,1,48,,48,267
San Antonio Police Dept,TX,12,1316882,7327,122,635,,2445,4125
San Benito Police Dept,TX,12,25150,64,0,5,,14,45
San Juan Police Dept,TX,12,33213,101,1,7,,21,72
San Marcos Police Dept,TX,12,48979,168,0,15,,46,107
Santa Fe City Police Dept,TX,12,10735,40,0,10,,3,27
Schertz Police Dept,TX,12,29519,60,2,8,,6,44
Seabrook Police Dept,TX,12,11448,38,1,9,,2,26
Seagoville Police Dept,TX,12,11452,45,0,3,,14,28
Seguin Police Dept,TX,12,25203,63,0,11,,12,40
Sherman Police Dept,TX,12,37985,146,0,6,,19,121
Snyder Police Dept,TX,12,10549,96,0,12,,1,83
Socorro Police Dept,TX,12,31588,109,0,5,,26,78
South Houston Police Dept,TX,12,16348,106,2,3,,54,47
Southlake Police Dept,TX,12,26367,12,0,4,,2,6
Stafford Police Dept,TX,12,20460,98,2,13,,41,42
Stephenville Police Dept,TX,12,16219,51,0,12,,3,36
Sugar Land Police Dept,TX,12,82402,100,0,17,,39,44
Sulphur Springs Police Dept,TX,12,15396,30,0,5,,3,22
Sweetwater Police Dept,TX,12,10519,103,1,17,,10,75
Taylor Police Dept,TX,12,15597,13,0,1,,7,5
Temple Police Dept,TX,12,55057,205,1,24,,75,105
Terrell Police Dept,TX,12,19302,149,0,15,,36,98
Texarkana Police Dept,TX,12,36237,506,9,27,,105,365
Texas City Police Dept,TX,12,45574,301,4,13,,105,179
The Colony City Police Dept,TX,12,42563,59,1,9,,12,37
Tomball Police Dept,TX,12,10176,32,2,6,,7,17
Trophy Club Police Dept,TX,12,7836,5,0,1,,0,4
Tyler Police Dept,TX,12,95596,652,2,61,,123,466
Universal City Police Dept,TX,12,18238,37,0,2,,8,27
University Park Police Dept,TX,12,24300,11,0,2,,5,4
Uvalde Police Dept,TX,12,16594,87,1,8,,12,66
Vernon Police Dept,TX,12,11161,70,2,8,,7,53
Victoria Police Dept,TX,12,62404,346,1,37,,72,236
Vidor Police Dept,TX,12,11158,48,1,9,,7,31
Waco Police Dept,TX,12,122514,1139,6,95,,275,763
Watauga Police Dept,TX,12,23931,69,0,0,,18,51
Waxahachie Police Dept,TX,12,27500,118,0,10,,18,90
Weatherford Police Dept,TX,12,25500,43,0,10,,7,26
Webster Police Dept,TX,12,10070,46,0,7,,19,20
Weslaco Police Dept,TX,12,32707,136,2,15,,34,85
West University Place Police Dept,TX,12,15249,10,0,0,,8,2
