Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,114644,661,9,89,,167,396
Addison Police Dept,TX,12,13764,127,0,8,,32,87
Alamo Police Dept,TX,12,16496,55,0,0,,9,46
Alice Police Dept,TX,12,19850,138,0,5,,8,125
Allen Police Dept,TX,12,78630,58,0,10,,14,34
Alton City Police Dept,TX,12,7793,9,0,1,,3,5
Alvin Police Dept,TX,12,22542,64,1,8,,17,38
Amarillo Police Dept,TX,12,187234,1835,19,127,,431,1258
Andrews Police Dept,TX,12,9541,53,0,7,,1,45
Angleton Police Dept,TX,12,18811,99,0,27,,11,61
Arlington Police Dept,TX,12,372073,2588,13,156,,742,1677
Athens Police Dept,TX,12,12742,54,2,9,,12,31
Austin Police Dept,TX,12,716817,3871,30,328,,1457,2056
Azle Police Dept,TX,12,10973,31,1,1,,9,20
Balch Springs Police Dept,TX,12,19852,211,1,18,,85,107
Bay City Police Dept,TX,12,18211,462,0,10,,34,418
Baytown Police Dept,TX,12,69040,324,7,44,,113,160
Beaumont Police Dept,TX,12,109345,1073,15,71,,309,678
Bedford Police Dept,TX,12,48974,259,1,19,,34,205
Beeville Police Dept,TX,12,13721,48,0,2,,4,42
Bellaire Police Dept,TX,12,17879,41,0,1,,33,7
Bellmead Police Dept,TX,12,9573,131,1,6,,20,104
Belton Police Dept,TX,12,16191,30,0,1,,8,21
Benbrook Police Dept,TX,12,22618,31,0,7,,5,19
Big Spring Police Dept,TX,12,24099,197,0,35,,26,136
Boerne Police Dept,TX,12,9090,19,0,0,,0,19
Borger Police Dept,TX,12,13128,120,1,6,,12,101
Brenham Police Dept,TX,12,14887,96,1,12,,8,75
Brownsville Police Dept,TX,12,177090,880,5,21,,207,647
Brownwood Police Dept,TX,12,19820,113,0,11,,12,90
Bryan Police Dept,TX,12,67484,596,4,34,,96,462
Burkburnett Police Dept,TX,12,10203,8,0,0,,0,8
Burleson Police Dept,TX,12,33383,62,1,12,,13,36
Canyon Police Dept,TX,12,13644,3,0,0,,0,3
Carrollton Police Dept,TX,12,123324,237,5,3,,116,113
Cedar Hill Police Dept,TX,12,44629,103,2,8,,34,59
Cedar Park City Police Dept,TX,12,57286,42,0,5,,8,29
Cibolo Police Dept,TX,12,11960,8,0,0,,1,7
Cleburne Police Dept,TX,12,30174,146,1,31,,19,95
Clute Police Dept,TX,12,10781,49,0,2,,10,37
College Station Police Dept,TX,12,74997,251,1,38,,45,167
Colleyville Police Dept,TX,12,23743,8,0,0,,0,8
Conroe Police Dept,TX,12,51582,253,4,26,,67,156
Converse Police Dept,TX,12,14323,32,1,8,,18,5
Coppell Police Dept,TX,12,39572,40,0,1,,10,29
Copperas Cove Police Dept,TX,12,29706,115,1,11,,21,82
Corinth City Police Dept,TX,12,21054,15,0,3,,4,8
Corpus Christi Police Dept,TX,12,286428,2367,17,238,,497,1615
Corsicana Police Dept,TX,12,26696,88,0,14,,31,43
Crowley Police Dept,TX,12,11618,26,0,10,,5,11
Dallas Police Dept,TX,12,1239104,13248,200,511,,7222,5315
Deer Park Police Dept,TX,12,29971,76,0,6,,17,53
Del Rio Police Dept,TX,12,36864,73,0,0,,16,57
Denison Police Dept,TX,12,24130,111,2,5,,24,80
Denton Police Dept,TX,12,113936,365,2,76,,84,203
De Soto Police Dept,TX,12,47253,165,1,9,,54,101
Dickinson City Police Dept,TX,12,18151,65,0,5,,15,45
Donna City Police Dept,TX,12,16662,99,0,8,,14,77
Dumas Police Dept,TX,12,14084,54,0,16,,3,35
Duncanville Police Dept,TX,12,35512,133,0,10,,78,45
Eagle Pass Police Dept,TX,12,26974,114,1,9,,17,87
Edinburg Police Dept,TX,12,69708,269,1,20,,52,196
El Campo Police Dept,TX,12,10799,35,0,13,,3,19
