Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Kerrville Police Dept,TX,12,22347,44,0,0,,8,36
Kilgore Police Dept,TX,12,12975,51,0,9,,7,35
Killeen Police Dept,TX,12,127921,993,11,91,,259,632
Kingsville Police Dept,TX,12,26213,266,1,19,,15,231
Kyle Police Dept,TX,12,28016,51,1,6,,2,42
La Marque Police Dept,TX,12,14509,138,2,15,,35,86
La Porte Police Dept,TX,12,33800,47,0,6,,14,27
Lake Jackson Police Dept,TX,12,26849,49,2,7,,13,27
Lakeway Police Dept,TX,12,11391,20,0,3,,2,15
Lancaster Police Dept,TX,9,36361,1,0,1,,0,0
Laredo,TX,12,236091,1142,9,78,,209,846
League City Police Dept,TX,12,83560,69,1,18,,21,29
Leander City Police Dept,TX,12,26521,29,0,4,,2,23
Leon Valley Police Dept,TX,12,10151,38,0,3,,19,16
Levelland Police Dept,TX,12,13542,92,0,13,,3,76
Lewisville Police Dept,TX,12,95290,240,3,25,,80,132
Little Elm Police Dept,TX,12,25898,11,0,0,,2,9
Live Oak City Police Dept,TX,12,13131,21,0,6,,7,8
Lockhart Police Dept,TX,12,12698,77,0,4,,5,68
Longview Police Dept,TX,12,80455,582,10,42,,134,396
Lubbock Police Dept,TX,12,229573,2001,10,91,,328,1572
Lufkin Police Dept,TX,12,35067,183,3,12,,52,116
Lumberton,TX,12,11943,11,0,1,,2,8
Mansfield Police Dept,TX,12,56368,79,0,13,,19,47
Marshall Police Dept,TX,12,23523,150,2,10,,28,110
McAllen Police Dept,TX,12,129877,299,5,14,,115,165
Mckinney Police Dept,TX,12,131117,224,1,33,,40,150
The Village Police Dept,TX,12,11125,3,0,0,,2,1
Mercedes Police Dept,TX,12,15570,88,0,5,,7,76
Mesquite Police Dept,TX,12,139824,482,7,8,,165,302
Midland Police Dept,TX,12,111147,407,2,44,,65,296
Midlothian Police Dept,TX,12,18037,35,0,3,,3,29
Mineral Wells Police Dept,TX,12,16788,94,2,23,,11,58
Mission Police Dept,TX,12,77058,92,2,7,,37,46
Missouri City Police Dept,TX,12,67358,186,5,13,,41,127
Mount Pleasant Police Dept,TX,12,15564,50,0,0,,8,42
Murphy City Police Dept,TX,12,17708,8,0,2,,0,6
Nacogdoches Police Dept,TX,12,32996,329,2,9,,44,274
Nederland Police Dept,TX,12,17547,63,0,15,,14,34
New Braunfels Police Dept,TX,12,57740,121,0,10,,25,86
North Richland Hills Police Dept,TX,12,63343,226,0,31,,40,155
Odessa Police Dept,TX,12,99940,726,3,36,,96,591
Orange Police Dept,TX,12,18595,146,1,3,,49,93
Palestine Police Dept,TX,12,18712,72,1,19,,14,38
Pampa Police Dept,TX,12,17994,111,0,0,,10,101
Paris Police Dept,TX,12,25171,146,1,6,,27,112
Pasadena Police Dept,TX,12,149043,611,7,68,,149,387
Pearland Police Dept,TX,12,91252,128,3,16,,29,80
Pflugerville Police Dept,TX,12,46936,68,1,7,,12,48
Pharr Police Dept,TX,12,70400,251,6,13,,55,177
