Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Amarillo Police Dept,TX,12,194708,1223,10,104,,235,874
Arlington Police Dept,TX,12,373128,1874,22,136,,540,1176
Austin Police Dept,TX,12,807022,3471,28,211,,1106,2126
Baytown Police Dept,TX,12,73313,212,1,13,,79,119
Beaumont Police Dept,TX,12,120785,1069,13,65,,356,635
Brownsville Police Dept,TX,12,178706,500,1,37,,109,353
Bryan Police Dept,TX,12,77804,425,2,22,,78,323
Carrollton Police Dept,TX,12,121603,206,3,4,,93,106
Cedar Park City Police Dept,TX,12,49967,70,0,7,,6,57
City Of College Station Police Dept,TX,12,95832,288,1,31,,32,224
Conroe Police Dept,TX,12,57390,194,2,12,,60,120
Corpus Christi Police Dept,TX,12,311637,1987,12,194,,370,1411
Dallas Police Dept,TX,12,1223021,8330,133,428,,4066,3703
Denton Police Dept,TX,12,115769,311,2,53,,55,201
De Soto Police Dept,TX,12,50079,150,5,9,,66,70
Edinburg Police Dept,TX,12,78722,282,1,28,,54,199
El Paso Police Dept,TX,12,662780,2858,16,217,,464,2161
Euless Police Dept,TX,12,52356,128,0,13,,44,71
Flower Mound Police Dept,TX,12,66030,51,0,4,,3,44
City Of Fort Worth Police Dept,TX,12,756803,4569,48,350,,1267,2904
Frisco Police Dept,TX,12,119451,122,3,6,,23,90
Garland Police Dept,TX,12,231650,530,5,55,,247,223
Georgetown Police Dept,TX,12,48397,65,1,16,,13,35
Grand Prairie Police Dept,TX,12,179087,591,9,69,,201,312
Grapevine Police Dept,TX,12,47309,91,6,12,,18,55
Harlingen Police Dept,TX,12,66214,337,4,18,,65,250
Houston Police Dept,TX,12,2143628,20892,198,771,,8054,11869
Irving Police Dept,TX,12,220841,514,8,25,,151,330
Killeen Police Dept,TX,12,130613,815,15,69,,172,559
Laredo,TX,12,241059,1120,11,76,,215,818
League City Police Dept,TX,12,85318,94,3,21,,37,33
Lewisville Police Dept,TX,12,97295,183,3,22,,53,105
Longview Police Dept,TX,12,82148,412,4,20,,110,278
Lubbock Police Dept,TX,12,234404,1800,8,70,,313,1409
Mansfield Police Dept,TX,12,57554,62,1,17,,17,27
Mcallen Police Dept,TX,12,132610,246,4,27,,72,143
Mckinney Police Dept,TX,12,133876,241,1,33,,44,163
Mesquite Police Dept,TX,12,142766,397,2,8,,177,210
Midland Police Dept,TX,12,113486,334,4,21,,58,251
Mission Police Dept,TX,12,78679,100,2,6,,37,55
Missouri City Police Dept,TX,12,68775,90,0,10,,35,45
New Braunfels Police Dept,TX,12,58955,119,2,7,,26,84
North Richland Hills Police Dept,TX,12,64676,185,0,29,,33,123
Odessa Police Dept,TX,12,102043,748,6,37,,73,632
Pasadena Police Dept,TX,12,152179,566,5,62,,135,364
Pearland Police Dept,TX,12,93172,125,2,15,,29,79
Pflugerville Police Dept,TX,12,47924,63,0,5,,11,47
Pharr Police Dept,TX,12,71881,256,4,17,,51,184
Plano Police Dept,TX,12,265309,429,5,40,,142,242
City Of Port Arthur Police Dept,TX,12,54950,434,8,29,,156,241
Richardson Police Dept,TX,12,101311,173,0,9,,76,88
Round Rock Police Dept,TX,12,101989,115,2,25,,39,49
Rowlett Police Dept,TX,12,57382,65,0,6,,9,50
San Angelo Police Dept,TX,12,95161,250,0,32,,42,176
San Antonio Police Dept,TX,12,1355339,7038,89,492,,1785,4672
San Marcos Police Dept,TX,12,45839,159,1,11,,37,110
Sugar Land Police Dept,TX,12,80475,96,1,5,,29,61
Temple Police Dept,TX,12,67493,185,0,21,,84,80
Tyler Police Dept,TX,12,98939,503,3,46,,79,375
Victoria Police Dept,TX,12,63909,392,2,38,,70,282
City Of Waco Police Dept,TX,12,127431,766,11,70,,245,440
Wichita Falls Police Dept,TX,12,106753,459,1,30,,147,281
