area,year,f1units,f1change,f1value,f1valchange,f24units,f24change,f24value,f24valchange,f5units,f5change,f5value,f5valchange
"Abilene, TX",1980,569,null,71500,null,34,null,32300,null,352,null,17000,null
"Abilene, TX",1981,550,-3.3,79100,10.6,80,135.3,40600,25.7,268,-23.9,16900,-0.6
"Abilene, TX",1982,788,43.3,67400,-14.8,68,-15,44800,10.3,1280,377.6,21100,24.9
"Abilene, TX",1983,1072,36,66600,-1.2,237,248.5,46800,4.5,744,-41.9,29600,40.3
"Abilene, TX",1984,529,-50.7,71500,7.4,158,-33.3,32700,-30.1,520,-30.1,23300,-21.3
"Abilene, TX",1985,363,-31.4,87800,22.8,8,-94.9,33500,2.4,105,-79.8,37100,59.2
"Abilene, TX",1986,347,-4.4,84400,-3.9,14,75,51600,54,24,-77.1,66700,79.8
"Abilene, TX",1987,220,-36.6,84600,0.2,16,14.3,30400,-41.1,0,-100,0,-100
"Abilene, TX",1988,151,-31.4,83400,-1.4,0,-100,0,-100,0,0,0,0
"Abilene, TX",1989,108,-28.5,79400,-4.8,0,0,0,0,0,0,0,0
"Abilene, TX",1990,109,0.9,86400,8.8,13,0,67000,0,0,0,0,0
"Abilene, TX",1991,148,35.8,101300,17.2,4,-69.2,75000,11.9,0,0,0,0
"Abilene, TX",1992,275,85.8,99600,-1.7,8,100,205000,173.3,0,0,0,0
"Abilene, TX",1993,300,9.1,98400,-1.2,18,125,76700,-62.6,0,0,0,0
"Abilene, TX",1994,328,9.3,96200,-2.2,15,-16.7,56000,-27,200,0,26000,0
"Abilene, TX",1995,243,-25.9,109100,13.4,9,-40,63300,13,173,-13.5,26000,0
"Abilene, TX",1996,258,6.2,113800,4.3,11,22.2,82700,30.6,117,-32.4,26000,0
"Abilene, TX",1997,224,-13.2,117300,3.1,3,-72.7,41700,-49.6,0,-100,0,-100
"Abilene, TX",1998,262,17,128900,9.9,4,33.3,45000,7.9,0,0,0,0
"Abilene, TX",1999,189,-27.9,138600,7.5,6,50,63700,41.6,0,0,0,0
"Abilene, TX",2000,171,-9.5,134300,-3.1,18,200,63300,-0.6,192,0,53100,0
"Abilene, TX",2001,178,4.1,146400,9,220,1122.2,49600,-21.6,192,0,33000,-37.9
"Abilene, TX",2002,165,-7.3,145300,-0.8,28,-87.3,54500,9.9,0,-100,0,-100
"Abilene, TX",2003,203,23,148800,2.4,22,-21.4,65400,20,0,0,0,0
"Abilene, TX",2004,283,39.4,146800,-1.3,8,-63.6,76400,16.8,0,0,0,0
"Abilene, TX",2005,310,9.5,155500,5.9,22,175,74500,-2.5,14,0,85700,0
"Abilene, TX",2006,333,7.4,175300,12.7,16,-27.3,87100,16.9,16,14.3,93800,9.5
"Abilene, TX",2007,283,-15,162100,-7.5,10,-37.5,99300,14,0,-100,0,-100
"Abilene, TX",2008,190,-32.9,168000,3.6,6,-40,101000,1.7,0,0,0,0
"Abilene, TX",2009,214,12.6,177300,5.5,0,-100,0,-100,0,0,0,0
"Abilene, TX",2010,272,27.1,145700,-17.8,2,0,73500,0,116,0,32700,0
"Abilene, TX",2011,153,-43.8,179100,22.9,6,200,104400,42,0,-100,0,-100
"Abilene, TX",2012,241,57.5,196600,9.8,10,66.7,78000,-25.3,204,0,79400,0
"Abilene, TX",2013,292,21.2,214000,8.9,14,40,73900,-5.3,0,-100,0,-100
"Abilene, TX",2014,284,-2.7,205700,-3.9,0,-100,0,-100,0,0,0,0
"Abilene, TX",2015,303,6.7,219700,6.8,4,0,123200,0,228,0,61600,0
"Abilene, TX",2016,298,-1.7,185200,-15.7,8,100,50000,-59.4,0,-100,0,-100
"Abilene, TX",2017,282,-5.4,213700,15.4,40,400,76400,52.8,0,0,0,0
"Akron, OH",1999,3150,null,155600,null,144,null,85200,null,350,null,35700,null
"Akron, OH",2000,2576,-18.2,165900,6.6,103,-28.5,71900,-15.6,663,89.4,36700,2.8
"Akron, OH",2001,2511,-2.5,171700,3.5,208,101.9,118500,64.8,511,-22.9,45000,22.6
"Akron, OH",2002,2182,-13.1,177200,3.2,131,-37,83900,-29.2,321,-37.2,66500,47.8
"Akron, OH",2003,2730,25.1,162100,-8.5,166,26.7,87000,3.7,294,-8.4,35600,-46.5
"Akron, OH",2004,2480,-9.2,182800,12.8,172,3.6,78600,-9.7,282,-4.1,35700,0.3
"Akron, OH",2005,2146,-13.5,196300,7.4,203,18,81200,3.3,211,-25.2,35800,0.3
"Akron, OH",2006,1746,-18.6,202900,3.4,124,-38.9,91000,12.1,339,60.7,37600,5
"Akron, OH",2007,1379,-21,196400,-3.2,33,-73.4,76200,-16.3,182,-46.3,38400,2.1
"Akron, OH",2008,871,-36.8,192400,-2,27,-18.2,40200,-47.2,141,-22.5,45600,18.8
"Akron, OH",2009,670,-23.1,164500,-14.5,22,-18.5,69800,73.6,49,-65.2,35300,-22.6
"Akron, OH",2010,657,-1.9,189300,15.1,29,31.8,54100,-22.5,50,2,35300,0
"Akron, OH",2011,637,-3,183300,-3.2,6,-79.3,22900,-57.7,479,858,54700,55
"Akron, OH",2012,611,-4.1,211800,15.5,7,16.7,82900,262,0,-100,0,-100
"Akron, OH",2013,666,9,237100,11.9,8,14.3,112500,35.7,16,0,281200,0
"Akron, OH",2014,684,2.7,253700,7,16,100,118800,5.6,63,293.8,95200,-66.1
"Akron, OH",2015,792,15.8,243500,-4,16,0,115600,-2.7,159,152.4,94300,-0.9
"Akron, OH",2016,905,14.3,249900,2.6,4,-75,125000,8.1,0,-100,0,-100
"Akron, OH",2017,901,-0.4,250100,0.1,8,100,125000,0,11,0,72700,0
"Albany, GA",1999,727,null,107500,null,26,null,68800,null,0,null,0,null
"Albany, GA",2000,555,-23.7,107800,0.3,25,-3.8,52700,-23.4,193,0,24500,0
"Albany, GA",2001,600,8.1,107800,0,18,-28,31000,-41.2,0,-100,0,-100
"Albany, GA",2002,627,4.5,109300,1.4,58,222.2,63000,103.2,0,0,0,0
"Albany, GA",2003,612,-2.4,116900,7,34,-41.4,69000,9.5,262,0,51900,0
"Albany, GA",2004,671,9.6,117800,0.8,84,147.1,62000,-10.1,118,-55,34500,-33.5
"Albany, GA",2005,659,-1.8,114500,-2.8,54,-35.7,51700,-16.6,8,-93.2,49200,42.6
"Albany, GA",2006,647,-1.8,116900,2.1,72,33.3,65900,27.5,8,0,37500,-23.8
"Albany, GA",2007,463,-28.4,115100,-1.5,62,-13.9,62600,-5,65,712.5,91300,143.5
"Albany, GA",2008,237,-48.8,117100,1.7,42,-32.3,60400,-3.5,15,-76.9,37500,-58.9
"Albany, GA",2009,183,-22.8,114500,-2.2,25,-40.5,66400,9.9,5,-66.7,37500,0
"Albany, GA",2010,172,-6,115400,0.8,20,-20,67800,2.1,56,1020,117600,213.6
"Albany, GA",2011,182,5.8,112200,-2.8,19,-5,71200,5,5,-91.1,37500,-68.1
"Albany, GA",2012,201,10.4,115000,2.5,23,21.1,71900,1,5,0,37500,0
"Albany, GA",2013,222,10.4,119700,4.1,25,8.7,72200,0.4,10,100,37500,0
"Albany, GA",2014,235,5.9,122000,1.9,31,24,68000,-5.8,5,-50,37500,0
"Albany, GA",2015,166,-29.4,126300,3.5,32,3.2,70500,3.7,5,0,37500,0
"Albany, GA",2016,176,6,134600,6.6,8,-75,45000,-36.2,46,820,100700,168.5
"Albany, GA",2017,411,133.5,92800,-31.1,0,-100,0,-100,5,-89.1,100700,0
"Albany, OR",1999,348,null,121800,null,100,null,64100,null,168,null,43700,null
"Albany, OR",2000,369,6,128600,5.6,31,-69,61800,-3.6,112,-33.3,51700,18.3
"Albany, OR",2001,430,16.5,116300,-9.6,28,-9.7,84100,36.1,101,-9.8,53700,3.9
"Albany, OR",2002,544,26.5,120200,3.4,24,-14.3,94800,12.7,0,-100,0,-100
"Albany, OR",2003,630,15.8,137600,14.5,41,70.8,88100,-7.1,6,0,51400,0
"Albany, OR",2004,792,25.7,141700,3,65,58.5,101000,14.6,48,700,69600,35.4
"Albany, OR",2005,865,9.2,142100,0.3,47,-27.7,105500,4.5,103,114.6,62500,-10.2
"Albany, OR",2006,783,-9.5,175500,23.5,51,8.5,118100,11.9,57,-44.7,71000,13.6
"Albany, OR",2007,616,-21.3,188300,7.3,41,-19.6,140300,18.8,142,149.1,80300,13.1
"Albany, OR",2008,260,-57.8,185600,-1.4,16,-61,137700,-1.9,264,85.9,94300,17.4
"Albany, OR",2009,236,-9.2,199100,7.3,10,-37.5,155600,13,0,-100,0,-100
"Albany, OR",2010,161,-31.8,197700,-0.7,13,30,121800,-21.7,0,0,0,0
"Albany, OR",2011,130,-19.3,199200,0.8,2,-84.6,176800,45.2,48,0,81300,0
"Albany, OR",2012,152,16.9,216200,8.5,2,0,129100,-27,74,54.2,88000,8.2
"Albany, OR",2013,269,77,240600,11.3,8,300,126800,-1.8,178,140.5,97200,10.5
"Albany, OR",2014,270,0.4,241400,0.3,2,-75,204400,61.2,121,-32,97200,0
"Albany, OR",2015,344,27.4,229600,-4.9,6,200,115800,-43.3,15,-87.6,83700,-13.9
"Albany, OR",2016,395,14.8,247900,8,0,-100,0,-100,10,-33.3,83700,0
"Albany, OR",2017,481,21.8,246100,-0.7,0,0,0,0,58,480,96600,15.4
"Albany-Schenectady-Troy, NY",1999,2258,null,138200,null,67,null,50000,null,515,null,47500,null
"Albany-Schenectady-Troy, NY",2000,2184,-3.3,143400,3.8,67,0,47700,-4.6,346,-32.8,46600,-1.9
"Albany-Schenectady-Troy, NY",2001,2361,8.1,160400,11.9,30,-55.2,52100,9.2,502,45.1,48900,4.9
"Albany-Schenectady-Troy, NY",2002,2639,11.8,167300,4.3,112,273.3,66300,27.3,475,-5.4,62400,27.6
"Albany-Schenectady-Troy, NY",2003,2627,-0.5,176400,5.4,66,-41.1,55300,-16.6,554,16.6,68200,9.3
"Albany-Schenectady-Troy, NY",2004,2608,-0.7,189200,7.3,46,-30.3,112300,103.1,614,10.8,88100,29.2
"Albany-Schenectady-Troy, NY",2005,2181,-16.4,201500,6.5,59,28.3,77400,-31.1,1258,104.9,81700,-7.3
"Albany-Schenectady-Troy, NY",2006,1836,-15.8,219200,8.8,120,103.4,94400,22,494,-60.7,105600,29.3
"Albany-Schenectady-Troy, NY",2007,1591,-13.3,243000,10.9,131,9.2,98400,4.2,981,98.6,100000,-5.3
"Albany-Schenectady-Troy, NY",2008,1208,-24.1,235700,-3,66,-49.6,100700,2.3,618,-37,132400,32.4
"Albany-Schenectady-Troy, NY",2009,1109,-8.2,226000,-4.1,91,37.9,90700,-9.9,180,-70.9,41400,-68.7
"Albany-Schenectady-Troy, NY",2010,1099,-0.9,231100,2.3,86,-5.5,109100,20.3,244,35.6,67300,62.6
"Albany-Schenectady-Troy, NY",2011,890,-19,230400,-0.3,106,23.3,134600,23.4,768,214.8,110300,63.9
"Albany-Schenectady-Troy, NY",2012,1149,29.1,229600,-0.3,84,-20.8,142500,5.9,993,29.3,103300,-6.3
"Albany-Schenectady-Troy, NY",2013,1221,6.3,252400,9.9,105,25,97900,-31.3,683,-31.2,96900,-6.2
"Albany-Schenectady-Troy, NY",2014,1203,-1.5,246600,-2.3,189,80,128400,31.2,839,22.8,102200,5.5
"Albany-Schenectady-Troy, NY",2015,1185,-1.5,245500,-0.4,306,61.9,121400,-5.5,2132,154.1,123500,20.8
"Albany-Schenectady-Troy, NY",2016,1380,16.5,261900,6.7,353,15.4,105400,-13.2,1120,-47.5,101300,-18
"Albany-Schenectady-Troy, NY",2017,1212,-12.2,265300,1.3,209,-40.8,126100,19.6,925,-17.4,104200,2.9
"Albuquerque, NM",1999,4927,null,102600,null,113,null,50700,null,271,null,44600,null
"Albuquerque, NM",2000,4663,-5.4,100500,-2,40,-64.6,55600,9.7,70,-74.2,45400,1.8
"Albuquerque, NM",2001,5240,12.4,104700,4.2,39,-2.5,47000,-15.5,646,822.9,43100,-5.1
"Albuquerque, NM",2002,5803,10.7,107500,2.7,98,151.3,48200,2.6,1121,73.5,41100,-4.6
"Albuquerque, NM",2003,6822,17.6,113100,5.2,412,320.4,59800,24.1,702,-37.4,34900,-15.1
"Albuquerque, NM",2004,7065,3.6,124200,9.8,66,-84,50900,-14.9,324,-53.8,47900,37.2
"Albuquerque, NM",2005,6712,-5,133100,7.2,53,-19.7,46000,-9.6,273,-15.7,50700,5.8
"Albuquerque, NM",2006,6062,-9.7,169600,27.4,30,-43.4,55500,20.7,730,167.4,82700,63.1
"Albuquerque, NM",2007,3696,-39,191400,12.9,204,580,104000,87.4,599,-17.9,76700,-7.3
"Albuquerque, NM",2008,2037,-44.9,182600,-4.6,66,-67.6,105800,1.7,452,-24.5,78400,2.2
"Albuquerque, NM",2009,1519,-25.4,173800,-4.8,30,-54.5,114400,8.1,143,-68.4,77700,-0.9
"Albuquerque, NM",2010,1553,2.2,184400,6.1,30,0,123800,8.2,181,26.6,77900,0.3
"Albuquerque, NM",2011,1354,-12.8,181900,-1.4,29,-3.3,129200,4.4,251,38.7,77800,-0.1
"Albuquerque, NM",2012,1259,-7,190100,4.5,178,513.8,87400,-32.4,647,157.8,80600,3.6
"Albuquerque, NM",2013,1456,15.6,194300,2.2,89,-50,89600,2.5,1061,64,69800,-13.4
"Albuquerque, NM",2014,2128,46.2,191600,-1.4,79,-11.2,92600,3.3,336,-68.3,63300,-9.3
"Albuquerque, NM",2015,2012,-5.5,206700,7.9,64,-19,94700,2.3,219,-34.8,80500,27.2
"Albuquerque, NM",2016,1931,-4,208600,0.9,34,-46.9,93400,-1.4,500,128.3,94700,17.6
"Albuquerque, NM",2017,1997,3.4,213900,2.5,9,-73.5,108300,16,251,-49.8,83000,-12.4
"Alexandria, LA",1999,420,null,108800,null,0,null,0,null,90,null,42100,null
"Alexandria, LA",2000,377,-10.2,112100,3,3,0,40000,0,61,-32.2,42100,0
"Alexandria, LA",2001,358,-5,123200,9.9,2,-33.3,34500,-13.7,89,45.9,44500,5.7
"Alexandria, LA",2002,432,20.7,112200,-8.9,0,-100,0,-100,102,14.6,59900,34.6
"Alexandria, LA",2003,583,35,115600,3,4,0,121200,0,39,-61.8,60600,1.2
"Alexandria, LA",2004,683,17.2,119500,3.4,2,-50,50000,-58.7,0,-100,0,-100
"Alexandria, LA",2005,708,3.7,120900,1.2,2,0,50000,0,0,0,0,0
"Alexandria, LA",2006,951,34.3,132700,9.8,0,-100,0,-100,0,0,0,0
"Alexandria, LA",2007,564,-40.7,115300,-13.1,8,0,137500,0,0,0,0,0
"Alexandria, LA",2008,374,-33.7,129400,12.2,0,-100,0,-100,8,0,100000,0
"Alexandria, LA",2009,348,-7,152600,17.9,48,0,96800,0,0,-100,0,-100
"Alexandria, LA",2010,340,-2.3,162600,6.6,22,-54.2,92900,-4,72,0,65600,0
"Alexandria, LA",2011,280,-17.6,164400,1.1,22,0,92800,-0.1,74,2.8,65600,0
"Alexandria, LA",2012,339,21.1,165400,0.6,22,0,104000,12.1,121,63.5,65600,0
"Alexandria, LA",2013,340,0.3,184800,11.7,54,145.5,73700,-29.1,8,-93.4,93800,43
"Alexandria, LA",2014,311,-8.5,181900,-1.6,12,-77.8,86200,17,0,-100,0,-100
"Alexandria, LA",2015,241,-22.5,177700,-2.3,48,300,91200,5.8,0,0,0,0
"Alexandria, LA",2016,326,35.3,212000,19.3,64,33.3,62800,-31.1,0,0,0,0
"Alexandria, LA",2017,292,-10.4,214200,1,10,-84.4,74700,18.9,0,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ",1999,3514,null,117300,null,123,null,54100,null,367,null,51100,null
"Allentown-Bethlehem-Easton, PA-NJ",2000,3259,-7.3,122200,4.2,129,4.9,56500,4.4,371,1.1,38700,-24.3
"Allentown-Bethlehem-Easton, PA-NJ",2001,3513,7.8,121300,-0.7,83,-35.7,63200,11.9,543,46.4,45400,17.3
"Allentown-Bethlehem-Easton, PA-NJ",2002,4202,19.6,126600,4.4,86,3.6,73600,16.5,275,-49.4,86400,90.3
"Allentown-Bethlehem-Easton, PA-NJ",2003,3999,-4.8,144300,14,115,33.7,58600,-20.4,262,-4.7,78000,-9.7
"Allentown-Bethlehem-Easton, PA-NJ",2004,4461,11.6,154400,7,58,-49.6,83600,42.7,93,-64.5,35300,-54.7
"Allentown-Bethlehem-Easton, PA-NJ",2005,4319,-3.2,160400,3.9,126,117.2,83000,-0.7,403,333.3,39100,10.8
"Allentown-Bethlehem-Easton, PA-NJ",2006,3860,-10.6,154800,-3.5,78,-38.1,147200,77.3,206,-48.9,78600,101
"Allentown-Bethlehem-Easton, PA-NJ",2007,2640,-31.6,170800,10.3,34,-56.4,112600,-23.5,115,-44.2,92100,17.2
"Allentown-Bethlehem-Easton, PA-NJ",2008,1508,-42.9,162000,-5.2,12,-64.7,109700,-2.6,174,51.3,74800,-18.8
"Allentown-Bethlehem-Easton, PA-NJ",2009,1401,-7.1,148700,-8.2,15,25,137000,24.9,232,33.3,71300,-4.7
"Allentown-Bethlehem-Easton, PA-NJ",2010,1177,-16,160100,7.7,51,240,96600,-29.5,160,-31,65300,-8.4
"Allentown-Bethlehem-Easton, PA-NJ",2011,1059,-10,161800,1.1,20,-60.8,91600,-5.2,54,-66.2,119700,83.3
"Allentown-Bethlehem-Easton, PA-NJ",2012,829,-21.7,166300,2.8,37,85,143000,56.1,203,275.9,75200,-37.2
"Allentown-Bethlehem-Easton, PA-NJ",2013,1139,37.4,193700,16.5,47,27,132000,-7.7,164,-19.2,67800,-9.8
"Allentown-Bethlehem-Easton, PA-NJ",2014,1051,-7.7,210600,8.7,16,-66,157100,19,734,347.6,51800,-23.6
"Allentown-Bethlehem-Easton, PA-NJ",2015,943,-10.3,209600,-0.5,7,-56.2,75600,-51.9,406,-44.7,94700,82.8
"Allentown-Bethlehem-Easton, PA-NJ",2016,1059,12.3,191900,-8.4,41,485.7,127800,69,163,-59.9,49200,-48
"Allentown-Bethlehem-Easton, PA-NJ",2017,938,-11.4,219200,14.2,22,-46.3,173000,35.4,158,-3.1,55000,11.8
"Altoona, PA",1999,233,null,100000,null,10,null,45300,null,18,null,59100,null
"Altoona, PA",2000,212,-9,93800,-6.2,14,40,76000,67.8,0,-100,0,-100
"Altoona, PA",2001,227,7.1,118200,26,4,-71.4,41200,-45.8,24,0,20800,0
"Altoona, PA",2002,236,4,127900,8.2,26,550,53500,29.9,60,150,20000,-3.8
"Altoona, PA",2003,242,2.5,148000,15.7,17,-34.6,40600,-24.1,104,73.3,28400,42
"Altoona, PA",2004,293,21.1,153900,4,18,5.9,18300,-54.9,185,77.9,43000,51.4
"Altoona, PA",2005,176,-39.9,161300,4.8,4,-77.8,150000,719.7,0,-100,0,-100
"Altoona, PA",2006,188,6.8,161600,0.2,5,25,69100,-53.9,0,0,0,0
"Altoona, PA",2007,140,-25.5,184300,14,2,-60,75000,8.5,152,0,78900,0
"Altoona, PA",2008,179,27.9,130200,-29.4,16,700,100000,33.3,0,-100,0,-100
"Altoona, PA",2009,103,-42.5,173300,33.1,22,37.5,79600,-20.4,0,0,0,0
"Altoona, PA",2010,112,8.7,175900,1.5,40,81.8,98700,24,7,0,58500,0
"Altoona, PA",2011,69,-38.4,175900,0,6,-85,147000,48.9,0,-100,0,-100
"Altoona, PA",2012,81,17.4,233000,32.5,6,0,144300,-1.8,10,0,95000,0
"Altoona, PA",2013,93,14.8,220200,-5.5,2,-66.7,50000,-65.3,6,-40,37500,-60.5
"Altoona, PA",2014,88,-5.4,184300,-16.3,4,100,160000,220,8,33.3,86200,129.9
"Altoona, PA",2015,108,22.7,222500,20.7,4,0,114000,-28.7,5,-37.5,47200,-45.2
"Altoona, PA",2016,102,-5.6,186800,-16,40,900,78000,-31.6,41,720,212800,350.8
"Altoona, PA",2017,88,-13.7,215600,15.4,26,-35,91100,16.8,0,-100,0,-100
"Amarillo, TX",1980,640,null,55800,null,48,null,31900,null,608,null,20200,null
"Amarillo, TX",1981,439,-31.4,72800,30.5,20,-58.3,27600,-13.5,345,-43.3,10400,-48.5
"Amarillo, TX",1982,604,37.6,83100,14.1,41,105,24700,-10.5,1001,190.1,22500,116.3
"Amarillo, TX",1983,1169,93.5,71400,-14.1,141,243.9,26800,8.5,2409,140.7,21800,-3.1
"Amarillo, TX",1984,861,-26.3,71400,0,60,-57.4,31600,17.9,629,-73.9,20500,-6
"Amarillo, TX",1985,550,-36.1,72400,1.4,68,13.3,45300,43.4,251,-60.1,45100,120
"Amarillo, TX",1986,517,-6,78500,8.4,14,-79.4,38400,-15.2,9,-96.4,10000,-77.8
"Amarillo, TX",1987,509,-1.5,85400,8.8,0,-100,0,-100,0,-100,0,-100
"Amarillo, TX",1988,233,-54.2,82300,-3.6,0,0,0,0,0,0,0,0
"Amarillo, TX",1989,147,-36.9,85500,3.9,0,0,0,0,0,0,0,0
"Amarillo, TX",1990,153,4.1,100600,17.7,6,0,50700,0,0,0,0,0
"Amarillo, TX",1991,219,43.1,105200,4.6,0,-100,0,-100,0,0,0,0
"Amarillo, TX",1992,363,65.8,108900,3.5,12,0,38800,0,0,0,0,0
"Amarillo, TX",1993,550,51.5,107700,-1.1,13,8.3,40800,5.2,0,0,0,0
"Amarillo, TX",1994,556,1.1,115800,7.5,26,100,46500,14,0,0,0,0
"Amarillo, TX",1995,455,-18.2,119500,3.2,2,-92.3,83500,79.6,0,0,0,0
"Amarillo, TX",1996,576,26.6,110800,-7.3,5,150,46400,-44.4,0,0,0,0
"Amarillo, TX",1997,438,-24,122500,10.6,0,-100,0,-100,434,0,29900,0
"Amarillo, TX",1998,498,13.7,135100,10.3,4,0,44500,0,0,-100,0,-100
"Amarillo, TX",1999,541,8.6,131500,-2.7,4,0,40100,-9.9,166,0,28500,0
"Amarillo, TX",2000,550,1.7,130400,-0.8,4,0,81300,102.7,6,-96.4,33800,18.6
"Amarillo, TX",2001,578,5.1,139300,6.8,70,1650,92900,14.3,366,6000,48200,42.6
"Amarillo, TX",2002,733,26.8,144400,3.7,4,-94.3,67500,-27.3,184,-49.7,41300,-14.3
"Amarillo, TX",2003,786,7.2,154100,6.7,150,3650,78400,16.1,120,-34.8,50200,21.5
"Amarillo, TX",2004,741,-5.7,156800,1.8,6,-96,80800,3.1,267,122.5,42700,-14.9
"Amarillo, TX",2005,866,16.9,176000,12.2,20,233.3,41400,-48.8,294,10.1,37800,-11.5
"Amarillo, TX",2006,712,-17.8,195200,10.9,0,-100,0,-100,472,60.5,60300,59.5
"Amarillo, TX",2007,676,-5.1,224000,14.8,8,0,61100,0,632,33.9,72800,20.7
"Amarillo, TX",2008,514,-24,247100,10.3,2,-75,62500,2.3,252,-60.1,132400,81.9
"Amarillo, TX",2009,609,18.5,236600,-4.2,12,500,82500,32,24,-90.5,148200,11.9
"Amarillo, TX",2010,576,-5.4,238700,0.9,16,33.3,89500,8.5,339,1312.5,151500,2.2
"Amarillo, TX",2011,657,14.1,229300,-3.9,28,75,171000,91.1,19,-94.4,78500,-48.2
"Amarillo, TX",2012,656,-0.2,238700,4.1,44,57.1,114600,-33,930,4794.7,106600,35.8
"Amarillo, TX",2013,624,-4.9,242900,1.8,8,-81.8,93700,-18.2,266,-71.4,44300,-58.4
"Amarillo, TX",2014,496,-20.5,260100,7.1,50,525,57100,-39.1,372,39.8,112900,154.9
"Amarillo, TX",2015,564,13.7,265900,2.2,4,-92,119500,109.3,312,-16.1,79300,-29.8
"Amarillo, TX",2016,718,27.3,246800,-7.2,22,450,127300,6.5,0,-100,0,-100
"Amarillo, TX",2017,555,-22.7,258700,4.8,16,-27.3,119400,-6.2,204,0,89100,0
"Ames, IA",1999,295,null,108900,null,24,null,51600,null,518,null,38100,null
"Ames, IA",2000,254,-13.9,120800,10.9,18,-25,62100,20.3,402,-22.4,34200,-10.2
"Ames, IA",2001,239,-5.9,130200,7.8,7,-61.1,78600,26.6,251,-37.6,53700,57
"Ames, IA",2002,305,27.6,149800,15.1,4,-42.9,85000,8.1,573,128.3,43900,-18.2
"Ames, IA",2003,407,33.4,186700,24.6,2,-50,90000,5.9,336,-41.4,78700,79.3
"Ames, IA",2004,317,-22.1,195600,4.8,21,950,113500,26.1,398,18.5,57800,-26.6
"Ames, IA",2005,381,20.2,188300,-3.7,4,-81,90000,-20.7,561,41,67000,15.9
"Ames, IA",2006,278,-27,188900,0.3,4,0,155000,72.2,202,-64,51400,-23.3
"Ames, IA",2007,244,-12.2,244800,29.6,0,-100,0,-100,116,-42.6,76200,48.2
"Ames, IA",2008,126,-48.4,264900,8.2,0,0,0,0,201,73.3,78100,2.5
"Ames, IA",2009,122,-3.2,209900,-20.8,0,0,0,0,0,-100,0,-100
"Ames, IA",2010,93,-23.8,256800,22.3,0,0,0,0,74,0,143300,0
"Ames, IA",2011,99,6.5,227800,-11.3,2,0,77500,0,356,381.1,61200,-57.3
"Ames, IA",2012,152,53.5,239200,5,4,100,82500,6.5,291,-18.3,59900,-2.1
"Ames, IA",2013,246,61.8,244900,2.4,4,0,82500,0,286,-1.7,75800,26.5
"Ames, IA",2014,179,-27.2,260500,6.4,10,150,177200,114.8,350,22.4,113600,49.9
"Ames, IA",2015,196,9.5,271100,4.1,5,-50,185900,4.9,354,1.1,123100,8.4
"Ames, IA",2016,210,7.1,276200,1.9,24,380,152000,-18.2,475,34.2,114500,-7
"Ames, IA",2017,257,22.4,284400,3,14,-41.7,228600,50.4,631,32.8,97400,-14.9
"Anchorage, AK",1999,843,null,184700,null,184,null,124700,null,304,null,112000,null
"Anchorage, AK",2000,882,4.6,190700,3.2,247,34.2,132900,6.6,181,-40.5,80800,-27.9
"Anchorage, AK",2001,1116,26.5,194900,2.2,780,215.8,124500,-6.3,250,38.1,84300,4.3
"Anchorage, AK",2002,1007,-9.8,202200,3.7,884,13.3,126900,1.9,305,22,109700,30.1
"Anchorage, AK",2003,966,-4.1,218000,7.8,1052,19,135700,6.9,529,73.4,110300,0.5
"Anchorage, AK",2004,922,-4.6,232100,6.5,580,-44.9,145900,7.5,540,2.1,115800,5
"Anchorage, AK",2005,859,-6.8,241900,4.2,600,3.4,153000,4.9,440,-18.5,129600,11.9
"Anchorage, AK",2006,665,-22.6,264400,9.3,254,-57.7,154500,1,669,52,126500,-2.4
"Anchorage, AK",2007,379,-43,304800,15.3,279,9.8,176000,13.9,312,-53.4,110800,-12.4
"Anchorage, AK",2008,267,-29.6,317500,4.2,129,-53.8,212700,20.9,64,-79.5,166700,50.5
"Anchorage, AK",2009,297,11.2,288200,-9.2,93,-27.9,174200,-18.1,161,151.6,103200,-38.1
"Anchorage, AK",2010,424,42.8,262000,-9.1,35,-62.4,169600,-2.6,74,-54,119200,15.5
"Anchorage, AK",2011,401,-5.4,277200,5.8,32,-8.6,152900,-9.8,91,23,171200,43.6
"Anchorage, AK",2012,530,32.2,279900,1,33,3.1,186200,21.8,12,-86.8,157700,-7.9
"Anchorage, AK",2013,500,-5.7,300900,7.5,56,69.7,162500,-12.7,20,66.7,216400,37.2
"Anchorage, AK",2014,671,34.2,291300,-3.2,40,-28.6,154700,-4.8,176,780,158100,-26.9
"Anchorage, AK",2015,695,3.6,307300,5.5,90,125,146700,-5.2,148,-15.9,158100,0
"Anchorage, AK",2016,751,8.1,310100,0.9,79,-12.2,149900,2.2,216,45.9,145800,-7.8
"Anchorage, AK",2017,851,13.3,310800,0.2,89,12.7,158300,5.6,208,-3.7,148600,1.9
"Ann Arbor, MI",1999,2192,null,157700,null,77,null,93900,null,348,null,65700,null
"Ann Arbor, MI",2000,1863,-15,162700,3.2,17,-77.9,107500,14.5,100,-71.3,147400,124.4
"Ann Arbor, MI",2001,1813,-2.7,159100,-2.2,50,194.1,142100,32.2,242,142,46500,-68.5
"Ann Arbor, MI",2002,2285,26,145300,-8.7,18,-64,87300,-38.6,30,-87.6,72000,54.8
"Ann Arbor, MI",2003,2153,-5.8,163600,12.6,40,122.2,112500,28.9,334,1013.3,71400,-0.8
