Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Harker Heights Police Dept,TX,12,28125,90,0,8,,25,57
Harlingen Police Dept,TX,12,65885,264,2,21,,59,182
Henderson Police Dept,TX,12,13837,96,1,,2,12,81
Hereford Police Dept,TX,12,15327,55,0,6,,9,40
Hewitt Police Dept,TX,12,13944,14,2,0,,1,11
Hidalgo Police Dept,TX,11,11863,32,0,3,,1,28
Highland Village Police Dept,TX,12,15754,8,0,0,,0,8
Horizon City Police Dept,TX,12,19439,13,0,0,,4,9
Houston Police Dept,TX,12,2180606,20993,214,618,,9891,10270
Humble Police Dept,TX,12,15473,95,0,12,,45,38
Huntsville Police Dept,TX,12,39990,213,0,22,,22,169
Hurst Police Dept,TX,12,38456,205,1,6,,47,151
Hutto Police Dept,TX,12,19513,8,0,5,,2,1
Irving Police Dept,TX,12,228367,530,2,24,,186,318
Jacinto City Police Dept,TX,11,10772,28,1,3,,7,17
Jacksonville Police Dept,TX,12,14816,111,0,13,,11,87
Katy Police Dept,TX,12,14837,38,2,,7,12,17
Keller Police Dept,TX,12,42644,27,1,5,,9,12
Kerrville Police Dept,TX,12,22484,48,3,7,,8,30
Kilgore Police Dept,TX,12,13938,53,2,9,,5,37
Killeen Police Dept,TX,12,136539,753,6,78,,170,499
Kingsville Police Dept,TX,12,26198,103,1,3,,19,80
Kyle Police Dept,TX,12,31732,90,0,12,,6,72
La Marque Police Dept,TX,12,14976,70,1,5,,26,38
La Porte Police Dept,TX,12,34671,40,0,12,,9,19
Lake Jackson Police Dept,TX,12,27273,40,1,9,,12,18
Lakeway Police Dept,TX,12,12815,16,0,2,,2,12
Lancaster Police Dept,TX,12,38209,179,2,,23,59,95
Laredo,TX,12,247353,1027,3,75,,207,742
League City Police Dept,TX,12,89596,96,2,14,,22,58
Leander City Police Dept,TX,12,30657,26,0,2,,4,20
Leon Valley Police Dept,TX,12,10833,26,0,7,,9,10
Levelland Police Dept,TX,12,13681,67,0,13,,8,46
Lewisville Police Dept,TX,12,100710,245,1,,50,74,120
Little Elm Police Dept,TX,12,29958,48,1,19,,6,22
Live Oak City Police Dept,TX,12,14541,45,1,7,,10,27
Lockhart Police Dept,TX,12,12971,45,1,7,,5,32
Longview Police Dept,TX,12,81273,451,5,,39,152,255
Lubbock Police Dept,TX,12,237875,1829,5,88,,388,1348
Lufkin Police Dept,TX,12,36315,127,3,3,,30,91
Lumberton,TX,12,12081,24,0,,7,4,13
Mansfield Police Dept,TX,12,60179,80,1,16,,23,40
Marshall Police Dept,TX,12,25169,141,3,18,,16,104
McAllen Police Dept,TX,12,136169,171,2,6,,83,80
Mckinney Police Dept,TX,12,146869,207,1,,52,44,110
The Village Police Dept,TX,12,11660,5,0,2,,2,1
Mercedes Police Dept,TX,12,16480,106,0,5,,13,88
Mesquite Police Dept,TX,12,144313,402,6,14,,204,178
Midland Police Dept,TX,12,122259,350,5,22,,63,260
Midlothian Police Dept,TX,12,19425,25,0,3,,5,17
Mineral Wells Police Dept,TX,12,16717,55,0,5,,16,34
Mission Police Dept,TX,12,81360,72,0,4,,32,36
Missouri City Police Dept,TX,12,69487,72,0,5,,35,32
Mount Pleasant Police Dept,TX,12,16101,41,0,0,,8,33
Murphy City Police Dept,TX,12,19347,4,0,,0,1,3
Nacogdoches Police Dept,TX,12,34413,97,1,3,,31,62
Nederland Police Dept,TX,12,17464,58,2,4,,11,41
New Braunfels Police Dept,TX,12,61651,147,3,16,,24,104
North Richland Hills Police Dept,TX,12,65899,157,1,21,,35,100
Odessa Police Dept,TX,12,108265,1080,2,56,,143,879
Orange Police Dept,TX,12,19057,111,4,1,,30,76
Palestine Police Dept,TX,12,18458,113,1,15,,31,66
Pampa Police Dept,TX,12,18471,186,1,0,,7,178
Paris Police Dept,TX,12,25048,170,5,5,,28,132
Pasadena Police Dept,TX,12,153195,592,3,52,,192,345
Pearland Police Dept,TX,12,98183,153,1,,37,29,86
Pflugerville Police Dept,TX,12,53007,59,0,16,,7,36
Pharr Police Dept,TX,12,73932,230,0,20,,37,173
Plainview Police Dept,TX,12,22225,57,0,7,,5,45
Plano Police Dept,TX,12,275795,407,3,,92,109,203
Port Arthur Police Dept,TX,12,54032,359,5,18,,121,215
Port Lavaca Police Dept,TX,7,12329,73,0,,10,3,60
Port Neches Police Dept,TX,12,12773,37,0,1,,2,34
Portland Police Dept,TX,12,15572,22,0,6,,5,11
Prosper,TX,12,12501,12,0,2,,1,9
Raymondville Police Dept,TX,12,11164,178,0,9,,4,165
Red Oak Police Dept,TX,12,11168,11,0,0,,8,3
Richardson Police Dept,TX,12,104577,128,2,15,,60,51
Richmond Police Dept,TX,12,11841,53,0,9,,11,33
Rio Grande Police Dept,TX,12,13971,44,0,2,,5,37
Robinson Police Dept,TX,12,11237,19,1,0,,2,16
Robstown Police Dept,TX,12,11665,15,1,0,,3,11
Rockport Police Dept,TX,12,9256,32,3,4,,6,19
Rockwall Police Dept,TX,12,40622,25,1,,10,2,12
Rosenberg Police Dept,TX,12,32059,94,1,11,,31,51
Round Rock Police Dept,TX,12,108577,149,2,24,,37,86
Rowlett Police Dept,TX,12,58177,84,0,,17,14,53
Royse City Police Dept,TX,12,10132,8,0,,2,0,6
Sachse City Police Dept,TX,12,21986,14,0,,3,1,10
Saginaw Police Dept,TX,12,21208,53,2,12,,10,29
San Angelo Police Dept,TX,12,96661,270,2,,61,22,185
San Antonio Police Dept,TX,12,1399725,8828,72,663,,2192,5901
San Benito Police Dept,TX,11,24555,55,0,1,,21,33
San Juan Police Dept,TX,12,35588,191,1,28,,25,137
San Marcos Police Dept,TX,12,51786,220,3,30,,50,137
Santa Fe City Police Dept,TX,12,12565,12,1,1,,1,9
Schertz Police Dept,TX,12,35882,68,0,12,,10,46
Seabrook Police Dept,TX,12,12580,17,0,0,,3,14
Seagoville Police Dept,TX,12,15652,8,0,0,,4,4
Seguin Police Dept,TX,12,26635,61,1,6,,21,33
Sherman Police Dept,TX,12,39377,120,2,4,,21,93
Snyder Police Dept,TX,12,11459,75,1,10,,2,62
Socorro Police Dept,TX,12,32891,58,0,8,,5,45
South Houston Police Dept,TX,12,17445,92,0,3,,46,43
Southlake Police Dept,TX,12,28062,14,1,0,,2,11
Stafford Police Dept,TX,12,18034,94,3,11,,45,35
Stephenville Police Dept,TX,12,18595,27,1,0,,6,20
Sugar Land Police Dept,TX,12,83460,108,1,6,,35,66
Sulphur Springs Police Dept,TX,12,15613,25,1,5,,4,15
Sweetwater Police Dept,TX,12,10604,83,0,,12,10,61
Taylor Police Dept,TX,12,16317,30,0,1,,8,21
Temple Police Dept,TX,12,69937,169,3,,25,57,84
Terrell Police Dept,TX,12,16233,78,6,3,,15,54
Texarkana Police Dept,TX,12,37467,329,2,21,,71,235
Texas City Police Dept,TX,12,45793,126,2,0,,55,69
The Colony City Police Dept,TX,12,39903,48,0,6,,7,35
Tomball Police Dept,TX,12,11029,31,0,,5,9,17
Trophy Club Police Dept,TX,12,10173,9,0,1,,2,6
Tyler Police Dept,TX,12,100033,376,5,,43,53,275
Universal City Police Dept,TX,12,19344,52,2,2,,9,39
University Park Police Dept,TX,12,24031,8,0,2,,5,1
Uvalde Police Dept,TX,12,16218,104,0,7,,8,89
Vernon Police Dept,TX,12,10703,37,0,6,,2,29
Victoria Police Dept,TX,12,64979,397,1,,55,55,286
Vidor Police Dept,TX,12,10984,58,0,0,,11,47
Waco Police Dept,TX,12,127570,515,4,58,,142,311
Watauga Police Dept,TX,12,24210,22,0,0,,6,16
Waxahachie Police Dept,TX,12,31530,33,2,0,,11,20
Weatherford Police Dept,TX,12,26702,7,0,1,,1,5
Webster Police Dept,TX,12,11116,46,1,8,,21,16
Weslaco Police Dept,TX,12,37248,389,2,22,,41,324
West University Place Police Dept,TX,12,15357,5,0,0,,5,0
