Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,119401,477,1,37,,125,314
Addison Police Dept,TX,12,15961,51,1,4,,11,35
Alamo Police Dept,TX,12,18876,164,0,11,,27,126
Alice Police Dept,TX,12,19673,155,0,9,,11,135
Allen Police Dept,TX,12,91289,62,0,,13,13,36
Alton City Police Dept,TX,12,14756,10,1,0,,6,3
Alvin Police Dept,TX,12,25110,53,1,10,,15,27
Amarillo Police Dept,TX,12,196577,1300,9,,223,244,824
Andrews Police Dept,TX,12,12529,94,0,22,,2,70
Angleton Police Dept,TX,12,19016,58,1,13,,6,38
Arlington Police Dept,TX,12,378765,1837,18,105,,562,1152
Athens Police Dept,TX,12,12886,39,0,5,,10,24
Austin Police Dept,TX,12,859180,3123,26,217,,763,2117
Azle Police Dept,TX,12,11304,28,0,3,,4,21
Balch Springs Police Dept,TX,12,25186,197,2,29,,45,121
Bay City Police Dept,TX,12,17429,60,1,8,,6,45
Baytown Police Dept,TX,12,73709,285,4,19,,126,136
Beaumont Police Dept,TX,12,118177,1225,16,59,,419,731
Bedford Police Dept,TX,12,48513,206,2,,16,35,153
Beeville Police Dept,TX,12,13181,30,2,0,,2,26
Bellaire Police Dept,TX,12,17617,13,0,0,,9,4
Bellmead Police Dept,TX,12,9950,152,0,15,,16,121
Belton Police Dept,TX,12,19734,67,0,1,,6,60
Benbrook Police Dept,TX,12,22157,23,1,1,,2,19
Big Spring Police Dept,TX,12,27640,147,2,8,,19,118
Boerne Police Dept,TX,12,11857,23,0,3,,1,19
Borger Police Dept,TX,12,13034,134,0,0,,2,132
Brenham Police Dept,TX,12,16268,68,1,11,,10,46
Brownsville Police Dept,TX,12,181590,473,1,61,,136,275
Brownwood Police Dept,TX,12,18873,61,0,11,,7,43
Bryan Police Dept,TX,12,78578,358,2,31,,75,250
Buda,TX,12,10098,9,0,1,,3,5
Burkburnett Police Dept,TX,12,10829,34,0,6,,2,26
Burleson Police Dept,TX,12,39714,57,0,10,,10,37
Canyon Police Dept,TX,12,14026,16,0,1,,3,12
Carrollton Police Dept,TX,12,127459,185,1,6,,73,105
Cedar Hill Police Dept,TX,12,46918,89,1,9,,34,45
Cedar Park City Police Dept,TX,12,59948,69,0,5,,8,56
Cibolo Police Dept,TX,12,21690,16,0,3,,3,10
Cleburne Police Dept,TX,12,29327,91,0,,20,11,60
Clute Police Dept,TX,7,11305,23,0,2,,4,17
College Station Police Dept,TX,12,98919,379,0,34,,37,308
Colleyville Police Dept,TX,12,24289,9,0,0,,4,5
Conroe Police Dept,TX,12,62962,216,1,,29,60,126
Converse Police Dept,TX,12,20115,124,0,10,,9,105
Coppell Police Dept,TX,12,40449,17,0,3,,2,12
Copperas Cove Police Dept,TX,12,33780,94,0,13,,18,63
Corinth City Police Dept,TX,12,20692,14,0,3,,4,7
Corpus Christi Police Dept,TX,12,314523,1939,18,147,,390,1384
Corsicana Police Dept,TX,12,23940,121,1,23,,25,72
Crowley Police Dept,TX,12,13804,14,1,0,,4,9
Dallas Police Dept,TX,12,1255015,8330,143,543,,4202,3442
Deer Park Police Dept,TX,11,33295,41,0,12,,10,19
Del Rio Police Dept,TX,12,35499,72,0,0,,14,58
Denison Police Dept,TX,12,22652,95,4,,12,15,64
Denton Police Dept,TX,12,123260,338,1,,88,55,194
De Soto Police Dept,TX,12,51703,179,5,14,,64,96
Dickinson City Police Dept,TX,12,19204,37,1,3,,7,26
Donna City Police Dept,TX,12,16320,154,0,3,,19,132
Dumas Police Dept,TX,12,15074,50,1,10,,3,36
Duncanville Police Dept,TX,12,39811,146,1,7,,96,42
Eagle Pass Police Dept,TX,12,27578,29,2,0,,3,24
Edinburg Police Dept,TX,12,82271,277,1,30,,50,196
El Campo Police Dept,TX,12,11525,54,0,7,,7,40
El Paso Police Dept,TX,12,679700,2522,10,176,,457,1879
Ennis Police Dept,TX,12,18679,61,0,1,,9,51
Euless Police Dept,TX,12,53236,89,0,4,,39,46
Farmers Branch Police Dept,TX,12,29609,65,0,10,,26,29
Flower Mound Police Dept,TX,12,68835,39,1,,2,5,31
Forest Hill Police Dept,TX,6,12712,19,0,2,,6,11
Forney Police Dept,TX,12,16257,19,0,,4,2,13
Fort Worth Police Dept,TX,12,789035,4440,49,,532,1257,2602
Fredericksburg Police Dept,TX,12,10768,9,0,0,,3,6
Freeport Police Dept,TX,12,12090,28,0,2,,8,18
Friendswood Police Dept,TX,12,37226,11,0,1,,2,8
Frisco Police Dept,TX,12,131769,103,0,,25,22,56
Gainesville Police Dept,TX,12,16089,89,2,9,,14,64
Galena Park Police Dept,TX,12,11097,18,0,6,,8,4
Galveston Police Dept,TX,12,48067,236,3,56,,93,84
Garland Police Dept,TX,12,235683,514,6,53,,237,218
Gatesville Police Dept,TX,12,16072,22,0,4,,3,15
Georgetown Police Dept,TX,12,53844,71,1,,17,7,46
Glenn Heights Police Dept,TX,12,11853,30,0,1,,4,25
Grand Prairie Police Dept,TX,12,183822,511,11,54,,155,291
Grapevine Police Dept,TX,12,49075,88,1,7,,20,60
Greenville Police Dept,TX,12,25895,204,0,15,,56,133
Groves Police Dept,TX,12,15725,79,0,8,,17,54
Haltom City Police Dept,TX,12,43676,110,2,11,,34,63
