Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
San Antonio Police Dept,TX,12,1380123,6943,89,549,,1864,4441
San Benito Police Dept,TX,12,25099,71,1,0,,19,51
San Juan Police Dept,TX,12,35394,201,2,31,,16,152
San Marcos Police Dept,TX,12,47384,164,1,27,,28,108
Santa Fe City Police Dept,TX,12,12597,22,1,3,,3,15
Schertz Police Dept,TX,12,32964,64,0,8,,4,52
Seabrook Police Dept,TX,12,12395,8,0,0,,5,3
Seagoville Police Dept,TX,12,15320,15,2,0,,6,7
Seguin Police Dept,TX,12,26332,60,1,7,,12,40
Sherman Police Dept,TX,12,39269,139,2,3,,28,106
Snyder Police Dept,TX,12,11368,51,1,7,,4,39
Socorro Police Dept,TX,12,33326,55,0,4,,6,45
South Houston Police Dept,TX,12,17614,90,1,9,,30,50
Southlake Police Dept,TX,12,27596,10,1,0,,5,4
Stafford Police Dept,TX,12,18623,78,2,3,,29,44
Stephenville Police Dept,TX,12,17511,33,0,7,,3,23
Sugar Land Police Dept,TX,12,82924,109,0,4,,37,68
Sulphur Springs Police Dept,TX,12,15774,39,0,0,,3,36
Sweetwater Police Dept,TX,12,11107,121,0,27,,9,85
Taylor Police Dept,TX,12,16240,23,0,2,,10,11
Temple Police Dept,TX,12,68194,202,1,22,,74,105
Terrell Police Dept,TX,12,16353,64,1,7,,15,41
Texarkana Police Dept,TX,12,37048,392,5,16,,71,300
Texas City Police Dept,TX,12,46448,148,2,11,,51,84
The Colony City Police Dept,TX,12,38217,38,0,6,,9,23
Tomball Police Dept,TX,12,11143,36,0,10,,5,21
Trophy Club Police Dept,TX,12,8435,1,0,1,,0,0
Tyler Police Dept,TX,12,100040,537,4,45,,92,396
Universal City Police Dept,TX,12,19271,70,0,1,,13,56
University Park Police Dept,TX,12,23842,11,0,2,,5,4
Uvalde Police Dept,TX,12,16065,75,1,7,,3,64
Vernon Police Dept,TX,12,11060,55,1,14,,1,39
Victoria Police Dept,TX,12,64076,405,5,31,,47,322
Vidor Police Dept,TX,12,10974,38,1,1,,3,33
Waco Police Dept,TX,12,128595,635,6,63,,182,384
Watauga Police Dept,TX,12,24390,46,0,6,,11,29
Waxahachie Police Dept,TX,12,30676,45,0,0,,14,31
Weatherford Police Dept,TX,12,25940,35,0,0,,8,27
Webster Police Dept,TX,12,10780,43,0,10,,21,12
Weslaco Police Dept,TX,12,37271,410,1,25,,60,324
West University Place Police Dept,TX,12,15335,13,0,0,,11,2
