Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Colleyville Police Dept,TX,12,25006,2,0,1,,1,0
Conroe Police Dept,TX,12,57685,252,2,25,,99,126
Converse Police Dept,TX,12,18353,34,0,2,,17,15
Coppell Police Dept,TX,12,39465,43,1,2,,10,30
Copperas Cove Police Dept,TX,12,30793,110,0,2,,18,90
Corinth City Police Dept,TX,12,22152,29,0,2,,2,25
Corpus Christi Police Dept,TX,12,287507,2365,12,212,,459,1682
Corsicana Police Dept,TX,12,26678,101,1,11,,24,65
Crowley Police Dept,TX,12,13077,26,0,6,,9,11
Dallas Police Dept,TX,12,1290266,10221,166,485,,5501,4069
Deer Park Police Dept,TX,12,31164,79,0,11,,8,60
Del Rio Police Dept,TX,12,36996,89,2,0,,8,79
Denison Police Dept,TX,12,24142,92,1,3,,28,60
Denton Police Dept,TX,12,124308,307,2,70,,80,155
De Soto Police Dept,TX,12,48798,178,2,8,,81,87
Dickinson City Police Dept,TX,12,17975,64,1,12,,16,35
Donna City Police Dept,TX,12,17323,134,0,1,,22,111
Dumas Police Dept,TX,12,13933,51,1,12,,1,37
Duncanville Police Dept,TX,12,36115,183,3,13,,94,73
Eagle Pass Police Dept,TX,12,27147,41,0,0,,4,37
Edinburg Police Dept,TX,12,74611,267,3,20,,69,175
El Campo Police Dept,TX,12,10735,50,0,10,,4,36
El Paso Police Dept,TX,12,618812,2830,12,182,,452,2184
Ennis Police Dept,TX,12,19887,91,2,7,,22,60
Euless Police Dept,TX,12,53339,108,3,15,,40,50
Farmers Branch Police Dept,TX,12,26344,71,1,6,,41,23
Flower Mound Police Dept,TX,12,71605,48,1,11,,3,33
Forest Hill Police Dept,TX,12,13961,114,1,5,,27,81
Forney Police Dept,TX,12,16977,24,1,4,,5,14
Fort Worth Police Dept,TX,12,723456,4245,44,379,,1449,2373
Fredericksburg Police Dept,TX,12,11339,7,0,0,,2,5
Freeport Police Dept,TX,12,12471,28,0,1,,4,23
Friendswood Police Dept,TX,12,34558,27,0,5,,7,15
Frisco Police Dept,TX,12,108244,108,2,16,,13,77
Gainesville Police Dept,TX,12,16547,90,0,7,,12,71
Galena Park Police Dept,TX,12,10166,31,1,2,,15,13
Galveston Police Dept,TX,12,57040,413,6,64,,121,222
Garland Police Dept,TX,12,218872,608,7,54,,304,243
Gatesville Police Dept,TX,12,15198,20,0,3,,1,16
Georgetown Police Dept,TX,12,52555,54,0,8,,11,35
Glenn Heights Police Dept,TX,12,11594,33,0,1,,11,21
Grand Prairie Police Dept,TX,12,164766,524,7,52,,194,271
Grapevine Police Dept,TX,12,51427,82,0,8,,12,62
Greenville Police Dept,TX,12,25865,194,1,10,,43,140
Groves Police Dept,TX,12,14255,53,1,1,,18,33
Haltom City Police Dept,TX,12,40303,139,0,5,,39,95
Harker Heights Police Dept,TX,12,26468,56,0,16,,17,23
Harlingen Police Dept,TX,12,65552,300,1,32,,70,197
Henderson Police Dept,TX,12,11675,86,0,5,,16,65
Hereford Police Dept,TX,12,14495,72,1,0,,11,60
Hewitt Police Dept,TX,12,13853,14,0,5,,1,8
Hidalgo Police Dept,TX,12,12590,11,0,0,,2,9
Highland Village Police Dept,TX,12,17317,6,0,2,,0,4
Horizon City Police Dept,TX,12,14408,16,0,0,,6,10
Houston Police Dept,TX,12,2273771,25593,287,823,,11367,13116
Humble Police Dept,TX,12,14934,171,1,17,,92,61
Huntsville Police Dept,TX,12,38875,188,3,12,,49,124
Hurst Police Dept,TX,12,38801,191,1,13,,43,134
Hutto Police Dept,TX,12,17482,29,0,1,,1,27
Irving Police Dept,TX,12,202447,604,4,34,,214,352
Jacinto City Police Dept,TX,12,9883,35,0,0,,15,20
Jacksonville Police Dept,TX,12,14424,120,1,19,,22,78
Katy Police Dept,TX,12,14166,49,1,0,,21,27
Keller Police Dept,TX,12,40421,27,0,0,,4,23
Kerrville Police Dept,TX,12,23091,52,2,4,,11,35
Kilgore Police Dept,TX,12,12094,43,0,5,,11,27
Killeen Police Dept,TX,12,120670,750,5,69,,179,497
Kingsville Police Dept,TX,12,24612,214,0,16,,16,182
Kyle Police Dept,TX,12,30846,17,0,1,,1,15
La Marque Police Dept,TX,12,14297,151,4,16,,39,92
La Porte Police Dept,TX,12,34535,68,0,7,,10,51
Lake Jackson Police Dept,TX,12,27531,40,0,5,,13,22
Lakeway Police Dept,TX,12,11587,14,0,2,,2,10
Lancaster Police Dept,TX,10,37061,101,0,14,,42,45
Laredo,TX,12,226944,1294,17,73,,309,895
League City Police Dept,TX,12,74801,122,2,20,,32,68
Leander City Police Dept,TX,12,28646,26,0,0,,3,23
Leon Valley Police Dept,TX,12,10390,41,0,4,,11,26
Levelland Police Dept,TX,12,12410,70,1,14,,8,47
Lewisville Police Dept,TX,12,104601,197,3,21,,75,98
Little Elm Police Dept,TX,12,30392,22,1,0,,3,18
Live Oak City Police Dept,TX,12,13677,31,0,9,,8,14
Lockhart Police Dept,TX,12,13891,77,0,1,,3,73
Longview Police Dept,TX,12,77663,713,12,32,,185,484
Lubbock Police Dept,TX,12,222884,2079,13,93,,311,1662
Lufkin Police Dept,TX,12,34668,167,1,13,,50,103
Lumberton,TX,12,10530,12,0,0,,0,12
Mansfield Police Dept,TX,12,48710,113,3,12,,33,65
Marshall Police Dept,TX,12,23791,174,3,17,,28,126
McAllen Police Dept,TX,12,132598,348,4,20,,132,192
Mckinney Police Dept,TX,12,132146,247,0,49,,56,142
The Village Police Dept,TX,12,12024,7,0,0,,4,3
Mercedes Police Dept,TX,12,15261,84,1,6,,7,70
Mesquite Police Dept,TX,12,132941,534,5,17,,220,292
Midland Police Dept,TX,12,107933,426,3,51,,85,287
Midlothian Police Dept,TX,12,17718,48,1,7,,2,38
Mineral Wells Police Dept,TX,12,16872,83,0,25,,8,50
Mission Police Dept,TX,12,69997,124,1,7,,41,75
Missouri City Police Dept,TX,12,77543,123,1,15,,46,61
Mount Pleasant Police Dept,TX,12,15111,64,0,0,,14,50
Murphy City Police Dept,TX,12,17459,10,0,2,,2,6
Nacogdoches Police Dept,TX,12,32459,185,4,29,,36,116
Nederland Police Dept,TX,12,15959,51,0,7,,16,28
New Braunfels Police Dept,TX,12,55584,142,0,14,,39,89
North Richland Hills Police Dept,TX,12,66181,178,2,25,,38,113
Odessa Police Dept,TX,12,99770,787,5,36,,189,557
Orange Police Dept,TX,12,19366,161,2,23,,57,79
Palestine Police Dept,TX,12,18477,167,3,21,,29,114
Pampa Police Dept,TX,12,17345,119,0,0,,10,109
Paris Police Dept,TX,12,26080,169,0,7,,34,128
Pasadena Police Dept,TX,12,146963,706,8,56,,184,458
Pearland Police Dept,TX,12,88528,132,1,20,,41,70
Pflugerville Police Dept,TX,12,42395,69,0,16,,11,42
Pharr Police Dept,TX,12,67628,302,2,23,,84,193
Plainview Police Dept,TX,12,21227,83,0,8,,12,63
Plano Police Dept,TX,12,272747,471,4,46,,141,280
Port Arthur Police Dept,TX,12,55725,433,7,31,,165,230
Port Lavaca Police Dept,TX,12,11375,64,1,3,,1,59
Port Neches Police Dept,TX,12,12501,16,0,0,,3,13
Portland Police Dept,TX,12,16675,18,0,8,,2,8
Prosper,TX,12,8005,2,0,0,,0,2
Raymondville Police Dept,TX,12,9502,243,0,0,,11,232
Red Oak Police Dept,TX,12,9852,8,0,1,,3,4
Richardson Police Dept,TX,12,102675,231,0,15,,109,107
Richmond Police Dept,TX,12,13706,60,2,9,,11,38
Rio Grande Police Dept,TX,12,14167,45,2,9,,2,32
Robinson Police Dept,TX,12,10642,15,0,1,,2,12
Robstown Police Dept,TX,12,12106,22,0,0,,12,10
Rockport Police Dept,TX,12,10026,18,0,2,,2,14
Rockwall Police Dept,TX,12,37856,46,0,11,,6,29
Rosenberg Police Dept,TX,12,34838,65,2,7,,17,39
Round Rock Police Dept,TX,12,110531,128,1,23,,32,72
Rowlett Police Dept,TX,12,57119,61,0,14,,5,42
Royse City Police Dept,TX,12,10277,23,0,3,,1,19
Sachse City Police Dept,TX,12,19996,13,0,2,,5,6
Saginaw Police Dept,TX,12,21388,51,0,3,,10,38
San Angelo Police Dept,TX,12,92269,365,8,66,,44,247
San Antonio Police Dept,TX,12,1373936,7844,99,628,,2683,4434
San Benito Police Dept,TX,12,25176,64,1,5,,17,41
San Juan Police Dept,TX,12,34896,181,0,16,,33,132
San Marcos Police Dept,TX,12,55187,182,1,3,,46,132
Santa Fe City Police Dept,TX,12,10578,31,1,3,,4,23
Schertz Police Dept,TX,12,31984,86,2,17,,11,56
Seabrook Police Dept,TX,12,11777,14,1,2,,4,7
Seagoville Police Dept,TX,12,12133,33,2,1,,10,20
Seguin Police Dept,TX,12,26705,116,1,17,,28,70
Sherman Police Dept,TX,12,38414,187,1,2,,29,155
Snyder Police Dept,TX,12,10376,128,1,15,,4,108
Socorro Police Dept,TX,12,32522,104,0,3,,16,85
South Houston Police Dept,TX,12,16410,105,3,4,,54,44
Southlake Police Dept,TX,12,27189,13,0,0,,3,10
Stafford Police Dept,TX,12,19990,78,2,9,,31,36
Stephenville Police Dept,TX,12,17151,53,0,12,,7,34
Sugar Land Police Dept,TX,12,82696,113,0,6,,61,46
Sulphur Springs Police Dept,TX,12,15564,39,1,4,,8,26
Sweetwater Police Dept,TX,12,10581,176,0,17,,15,144
Taylor Police Dept,TX,12,16394,10,1,0,,7,2
Temple Police Dept,TX,12,60243,180,3,23,,66,88
Terrell Police Dept,TX,12,20300,128,0,12,,31,85
Texarkana Police Dept,TX,12,36812,555,10,28,,145,372
Texas City Police Dept,TX,12,44807,251,3,6,,103,139
The Colony City Police Dept,TX,12,44448,53,0,11,,7,35
Tomball Police Dept,TX,12,10345,33,0,4,,6,23
Trophy Club Police Dept,TX,12,8276,6,0,0,,0,6
Tyler Police Dept,TX,12,99279,529,3,56,,89,381
Universal City Police Dept,TX,12,18821,51,0,1,,10,40
University Park Police Dept,TX,12,25026,12,0,1,,8,3
Uvalde Police Dept,TX,12,16171,69,0,0,,7,62
Vernon Police Dept,TX,12,10849,44,1,5,,2,36
Victoria Police Dept,TX,12,62788,431,1,48,,80,302
Vidor Police Dept,TX,12,11023,39,0,3,,5,31
Waco Police Dept,TX,12,125098,883,9,49,,228,597
Watauga Police Dept,TX,12,24235,102,0,0,,11,91
Waxahachie Police Dept,TX,12,29576,106,1,8,,22,75
Weatherford Police Dept,TX,12,27667,43,0,6,,10,27
Webster Police Dept,TX,12,10868,46,0,6,,16,24
Weslaco Police Dept,TX,12,33998,222,4,21,,38,159
West University Place Police Dept,TX,12,15736,4,0,0,,4,0
