Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Abilene Police Dept,TX,12,116557,658,7,114,,137,400
Addison Police Dept,TX,12,15063,90,1,7,,35,47
Alamo Police Dept,TX,12,16810,133,1,15,,24,93
Alice Police Dept,TX,12,19886,186,0,7,,13,166
Allen Police Dept,TX,12,86901,80,2,15,,15,48
Alton City Police Dept,TX,12,11945,34,0,0,,10,24
Alvin Police Dept,TX,12,23013,53,2,5,,14,32
Amarillo Police Dept,TX,12,188767,1580,10,99,,352,1119
Andrews Police Dept,TX,12,10209,79,1,10,,0,68
Angleton Police Dept,TX,12,18665,104,0,21,,8,75
Arlington Police Dept,TX,12,379104,2330,12,152,,672,1494
Athens Police Dept,TX,12,12402,74,0,13,,25,36
Austin Police Dept,TX,12,768970,4024,22,265,,1415,2322
Azle Police Dept,TX,12,11555,35,0,5,,5,25
Balch Springs Police Dept,TX,12,20052,155,0,21,,44,90
Bay City Police Dept,TX,12,17811,65,1,10,,28,26
Baytown Police Dept,TX,12,70764,330,2,34,,114,180
Beaumont Police Dept,TX,12,110237,1002,5,73,,332,592
Bedford Police Dept,TX,12,49375,186,0,13,,36,137
Beeville Police Dept,TX,12,12642,77,0,16,,8,53
Bellaire Police Dept,TX,12,18492,33,0,0,,22,11
Bellmead Police Dept,TX,12,9610,141,0,16,,16,109
Belton Police Dept,TX,12,18130,35,0,0,,9,26
Benbrook Police Dept,TX,12,23280,33,1,3,,12,17
Big Spring Police Dept,TX,12,24181,182,2,22,,40,118
Boerne Police Dept,TX,12,10835,13,0,1,,3,9
Borger Police Dept,TX,12,12516,206,0,22,,9,175
Brenham Police Dept,TX,12,15415,104,0,1,,12,91
Brownsville Police Dept,TX,12,179491,454,4,26,,152,272
Brownwood Police Dept,TX,12,19115,88,2,0,,7,79
Bryan Police Dept,TX,12,73111,567,1,33,,128,405
Burkburnett Police Dept,TX,12,10361,18,0,1,,2,15
Burleson Police Dept,TX,12,36807,69,1,8,,12,48
Canyon Police Dept,TX,12,14781,13,1,2,,1,9
Carrollton Police Dept,TX,12,127432,250,4,16,,124,106
Cedar Hill Police Dept,TX,12,46480,121,1,7,,49,64
Cedar Park City Police Dept,TX,12,68464,70,4,13,,12,41
Cibolo Police Dept,TX,12,17291,18,1,2,,3,12
Cleburne Police Dept,TX,12,30287,198,0,45,,24,129
Clute Police Dept,TX,12,10803,46,0,4,,17,25
College Station Police Dept,TX,12,86072,170,3,43,,24,100
