area,year,employmentTotal,employmentChange,unemploymentRate,unemploymentChange
"Anniston-Oxford-Jacksonville, AL",1990,47840,null,7.1416,null
"Anniston-Oxford-Jacksonville, AL",1991,48128,0.6,7.6655,0.52
"Anniston-Oxford-Jacksonville, AL",1992,48479,0.73,8.9185,1.25
"Anniston-Oxford-Jacksonville, AL",1993,48203,-0.57,8.7505,-0.17
"Anniston-Oxford-Jacksonville, AL",1994,48212,0.02,7.8459,-0.9
"Anniston-Oxford-Jacksonville, AL",1995,49215,2.08,7.9216,0.08
"Anniston-Oxford-Jacksonville, AL",1996,49495,0.57,6.2722,-1.65
"Anniston-Oxford-Jacksonville, AL",1997,51234,3.51,5.5442,-0.73
"Anniston-Oxford-Jacksonville, AL",1998,51803,1.11,4.7008,-0.84
"Anniston-Oxford-Jacksonville, AL",1999,51588,-0.42,5.1055,0.4
"Anniston-Oxford-Jacksonville, AL",2000,50223,-2.65,5.0524,-0.05
"Anniston-Oxford-Jacksonville, AL",2001,48744,-2.94,5.4937,0.44
"Anniston-Oxford-Jacksonville, AL",2002,48851,0.22,5.9693,0.48
"Anniston-Oxford-Jacksonville, AL",2003,49672,1.68,5.9518,-0.02
"Anniston-Oxford-Jacksonville, AL",2004,51065,2.8,5.481,-0.47
"Anniston-Oxford-Jacksonville, AL",2005,51524,0.9,4.5051,-0.98
"Anniston-Oxford-Jacksonville, AL",2006,51872,0.68,4.0527,-0.45
"Anniston-Oxford-Jacksonville, AL",2007,52709,1.61,3.9234,-0.13
"Anniston-Oxford-Jacksonville, AL",2008,51468,-2.35,5.674,1.75
"Anniston-Oxford-Jacksonville, AL",2009,47929,-6.88,11.1199,5.45
"Anniston-Oxford-Jacksonville, AL",2010,45699,-4.65,11.3648,0.24
"Anniston-Oxford-Jacksonville, AL",2011,45963,0.58,10.3469,-1.02
"Anniston-Oxford-Jacksonville, AL",2012,45252,-1.55,8.8556,-1.49
"Anniston-Oxford-Jacksonville, AL",2013,44163,-2.41,8.764,-0.09
"Anniston-Oxford-Jacksonville, AL",2014,43484,-1.54,7.9831,-0.78
"Anniston-Oxford-Jacksonville, AL",2015,42679,-1.85,7.0386,-0.94
"Anniston-Oxford-Jacksonville, AL",2016,42815,0.32,6.5539,-0.48
"Anniston-Oxford-Jacksonville, AL",2017,43333,1.21,4.9336,-1.62
"Anniston-Oxford-Jacksonville, AL",2018,44039,1.63,4.6627,-0.27
"Auburn-Opelika, AL",1990,40802,null,6.1087,null
"Auburn-Opelika, AL",1991,40415,-0.95,5.9569,-0.15
"Auburn-Opelika, AL",1992,41500,2.68,5.6265,-0.33
"Auburn-Opelika, AL",1993,41792,0.7,5.9311,0.3
"Auburn-Opelika, AL",1994,43299,3.61,4.2728,-1.66
"Auburn-Opelika, AL",1995,44535,2.86,4.2987,0.03
"Auburn-Opelika, AL",1996,45941,3.16,3.2694,-1.03
"Auburn-Opelika, AL",1997,47760,3.96,3.7593,0.49
"Auburn-Opelika, AL",1998,46987,-1.62,3.5783,-0.18
"Auburn-Opelika, AL",1999,47051,0.14,3.5224,-0.06
"Auburn-Opelika, AL",2000,55711,18.4,3.9851,0.46
"Auburn-Opelika, AL",2001,55832,0.22,4.0985,0.11
"Auburn-Opelika, AL",2002,56499,1.2,4.5766,0.48
"Auburn-Opelika, AL",2003,57747,2.21,4.7034,0.13
"Auburn-Opelika, AL",2004,59700,3.38,4.4807,-0.22
"Auburn-Opelika, AL",2005,61161,2.45,3.7294,-0.75
"Auburn-Opelika, AL",2006,62616,2.38,3.4125,-0.32
"Auburn-Opelika, AL",2007,62949,0.53,3.6383,0.23
"Auburn-Opelika, AL",2008,61795,-1.83,5.2064,1.57
"Auburn-Opelika, AL",2009,58787,-4.87,9.4086,4.2
"Auburn-Opelika, AL",2010,60758,3.35,8.9955,-0.41
"Auburn-Opelika, AL",2011,62812,3.38,8.0561,-0.94
"Auburn-Opelika, AL",2012,64247,2.28,6.778,-1.28
"Auburn-Opelika, AL",2013,66379,3.32,5.8765,-0.9
"Auburn-Opelika, AL",2014,67385,1.52,5.5862,-0.29
"Auburn-Opelika, AL",2015,67140,-0.36,5.2486,-0.34
"Auburn-Opelika, AL",2016,68544,2.09,5.2419,-0.01
"Auburn-Opelika, AL",2017,70643,3.06,3.9136,-1.33
"Auburn-Opelika, AL",2018,71808,1.65,3.6289,-0.28
"Birmingham-Hoover, AL",1990,434893,null,5.3932,null
"Birmingham-Hoover, AL",1991,433961,-0.21,6.0386,0.65
"Birmingham-Hoover, AL",1992,441704,1.78,6.5131,0.47
"Birmingham-Hoover, AL",1993,450032,1.89,5.9596,-0.55
"Birmingham-Hoover, AL",1994,462768,2.83,4.7031,-1.26
"Birmingham-Hoover, AL",1995,476157,2.89,4.3714,-0.33
"Birmingham-Hoover, AL",1996,486006,2.07,3.5763,-0.8
"Birmingham-Hoover, AL",1997,499811,2.84,3.6846,0.11
"Birmingham-Hoover, AL",1998,506726,1.38,3.2115,-0.47
"Birmingham-Hoover, AL",1999,507527,0.16,3.3404,0.13
"Birmingham-Hoover, AL",2000,506855,-0.13,3.8763,0.54
"Birmingham-Hoover, AL",2001,504544,-0.46,4.2111,0.33
"Birmingham-Hoover, AL",2002,498137,-1.27,5.0251,0.81
"Birmingham-Hoover, AL",2003,498902,0.15,5.1782,0.15
"Birmingham-Hoover, AL",2004,503592,0.94,4.9447,-0.23
"Birmingham-Hoover, AL",2005,508759,1.03,4.1091,-0.84
"Birmingham-Hoover, AL",2006,515497,1.32,3.7286,-0.38
"Birmingham-Hoover, AL",2007,515538,0.01,3.5727,-0.16
"Birmingham-Hoover, AL",2008,506244,-1.8,5.0323,1.46
"Birmingham-Hoover, AL",2009,472488,-6.67,10.2444,5.21
"Birmingham-Hoover, AL",2010,486786,3.03,9.8128,-0.43
"Birmingham-Hoover, AL",2011,495500,1.79,8.758,-1.05
"Birmingham-Hoover, AL",2012,502457,1.4,6.9867,-1.77
"Birmingham-Hoover, AL",2013,506502,0.81,6.3003,-0.69
"Birmingham-Hoover, AL",2014,503969,-0.5,5.9719,-0.33
"Birmingham-Hoover, AL",2015,506078,0.42,5.4749,-0.5
"Birmingham-Hoover, AL",2016,508206,0.42,5.4813,0.01
"Birmingham-Hoover, AL",2017,513044,0.95,4.0352,-1.45
"Birmingham-Hoover, AL",2018,523361,2.01,3.5668,-0.47
"Daphne-Fairhope-Foley, AL",1990,44379,null,5.2222,null
"Daphne-Fairhope-Foley, AL",1991,46695,5.22,5.5252,0.3
"Daphne-Fairhope-Foley, AL",1992,48921,4.77,6.2972,0.77
"Daphne-Fairhope-Foley, AL",1993,51755,5.79,6.0357,-0.26
"Daphne-Fairhope-Foley, AL",1994,55071,6.41,4.8714,-1.16
"Daphne-Fairhope-Foley, AL",1995,57883,5.11,4.8295,-0.04
"Daphne-Fairhope-Foley, AL",1996,60981,5.35,4.4625,-0.37
"Daphne-Fairhope-Foley, AL",1997,64799,6.26,3.5008,-0.96
"Daphne-Fairhope-Foley, AL",1998,67354,3.94,2.7868,-0.71
"Daphne-Fairhope-Foley, AL",1999,68556,1.78,3.3226,0.54
"Daphne-Fairhope-Foley, AL",2000,66970,-2.31,3.684,0.36
"Daphne-Fairhope-Foley, AL",2001,66195,-1.16,4.2889,0.6
"Daphne-Fairhope-Foley, AL",2002,65691,-0.76,5.028,0.74
"Daphne-Fairhope-Foley, AL",2003,68702,4.58,4.9757,-0.05
"Daphne-Fairhope-Foley, AL",2004,70919,3.23,5.1531,0.18
"Daphne-Fairhope-Foley, AL",2005,73743,3.98,3.9854,-1.17
"Daphne-Fairhope-Foley, AL",2006,77147,4.62,3.2165,-0.77
"Daphne-Fairhope-Foley, AL",2007,80099,3.83,3.0965,-0.12
"Daphne-Fairhope-Foley, AL",2008,79372,-0.91,4.6273,1.53
"Daphne-Fairhope-Foley, AL",2009,74403,-6.26,9.7612,5.13
"Daphne-Fairhope-Foley, AL",2010,75120,0.96,9.9921,0.23
"Daphne-Fairhope-Foley, AL",2011,77418,3.06,8.9678,-1.02
"Daphne-Fairhope-Foley, AL",2012,78065,0.84,7.5212,-1.45
"Daphne-Fairhope-Foley, AL",2013,79626,2,6.6294,-0.89
"Daphne-Fairhope-Foley, AL",2014,81115,1.87,6.1331,-0.5
"Daphne-Fairhope-Foley, AL",2015,82843,2.13,5.5433,-0.59
"Daphne-Fairhope-Foley, AL",2016,85656,3.4,5.3523,-0.19
"Daphne-Fairhope-Foley, AL",2017,87915,2.64,3.9886,-1.36
"Daphne-Fairhope-Foley, AL",2018,90790,3.27,3.5763,-0.41
"Decatur, AL",1990,61109,null,6.8511,null
"Decatur, AL",1991,60972,-0.22,7.8172,0.97
"Decatur, AL",1992,60672,-0.49,8.322,0.5
"Decatur, AL",1993,61947,2.1,7.7807,-0.54
"Decatur, AL",1994,62591,1.04,7.0103,-0.77
"Decatur, AL",1995,64601,3.21,6.3314,-0.68
"Decatur, AL",1996,65833,1.91,5.2139,-1.12
"Decatur, AL",1997,67479,2.5,5.1603,-0.05
"Decatur, AL",1998,69225,2.59,4.3277,-0.83
"Decatur, AL",1999,69742,0.75,4.657,0.33
"Decatur, AL",2000,69632,-0.16,4.3778,-0.28
"Decatur, AL",2001,68912,-1.03,5.3009,0.92
"Decatur, AL",2002,66795,-3.07,6.4545,1.15
"Decatur, AL",2003,66333,-0.69,6.5926,0.14
"Decatur, AL",2004,67539,1.82,6.1776,-0.42
"Decatur, AL",2005,68274,1.09,4.7506,-1.43
"Decatur, AL",2006,68524,0.37,4.2044,-0.55
"Decatur, AL",2007,69814,1.88,3.6364,-0.57
"Decatur, AL",2008,68851,-1.38,5.5081,1.87
"Decatur, AL",2009,63929,-7.15,11.4252,5.92
"Decatur, AL",2010,64624,1.09,11.1304,-0.29
"Decatur, AL",2011,65987,2.11,9.7383,-1.39
"Decatur, AL",2012,66024,0.06,8.0449,-1.69
"Decatur, AL",2013,66183,0.24,7.1545,-0.89
"Decatur, AL",2014,65229,-1.44,6.9186,-0.24
"Decatur, AL",2015,64294,-1.43,6.245,-0.67
"Decatur, AL",2016,64580,0.45,5.8181,-0.43
"Decatur, AL",2017,65562,1.52,4.2611,-1.56
"Decatur, AL",2018,67144,2.41,3.7127,-0.55
"Dothan, AL",1990,56188,null,4.4773,null
"Dothan, AL",1991,55931,-0.46,5.5078,1.03
"Dothan, AL",1992,57198,2.27,5.7134,0.21
"Dothan, AL",1993,56761,-0.76,7.1017,1.39
"Dothan, AL",1994,57607,1.49,6.0033,-1.1
"Dothan, AL",1995,58019,0.72,5.4739,-0.53
"Dothan, AL",1996,58406,0.67,5.3168,-0.16
"Dothan, AL",1997,60002,2.73,4.8253,-0.49
"Dothan, AL",1998,59611,-0.65,4.0699,-0.76
"Dothan, AL",1999,59414,-0.33,4.5343,0.46
"Dothan, AL",2000,62007,4.36,4.5805,0.05
"Dothan, AL",2001,61245,-1.23,4.8094,0.23
"Dothan, AL",2002,60837,-0.67,4.9293,0.12
"Dothan, AL",2003,61108,0.45,5.112,0.18
"Dothan, AL",2004,61985,1.43,4.856,-0.26
"Dothan, AL",2005,62655,1.08,3.9017,-0.95
"Dothan, AL",2006,63560,1.44,3.5606,-0.34
"Dothan, AL",2007,63878,0.5,3.5845,0.02
"Dothan, AL",2008,61704,-3.4,5.3103,1.73
"Dothan, AL",2009,57941,-6.1,9.7595,4.45
"Dothan, AL",2010,59000,1.83,9.553,-0.21
"Dothan, AL",2011,59739,1.25,8.8437,-0.71
"Dothan, AL",2012,59445,-0.49,7.6324,-1.21
"Dothan, AL",2013,59249,-0.33,6.999,-0.63
"Dothan, AL",2014,58441,-1.36,6.8402,-0.16
"Dothan, AL",2015,58173,-0.46,6.248,-0.59
"Dothan, AL",2016,58418,0.42,5.8787,-0.37
"Dothan, AL",2017,59210,1.35,4.3844,-1.49
"Dothan, AL",2018,59888,1.15,4.0985,-0.29
"Florence-Muscle Shoals, AL",1990,57916,null,7.3802,null
"Florence-Muscle Shoals, AL",1991,58364,0.77,8.1061,0.73
"Florence-Muscle Shoals, AL",1992,59607,2.13,7.7235,-0.38
"Florence-Muscle Shoals, AL",1993,61145,2.58,7.661,-0.06
"Florence-Muscle Shoals, AL",1994,62662,2.48,6.8652,-0.8
"Florence-Muscle Shoals, AL",1995,64972,3.69,6.3335,-0.53
"Florence-Muscle Shoals, AL",1996,65618,0.99,6.3286,0
"Florence-Muscle Shoals, AL",1997,65647,0.04,6.5433,0.21
"Florence-Muscle Shoals, AL",1998,63059,-3.94,7.3038,0.76
"Florence-Muscle Shoals, AL",1999,62027,-1.64,6.6385,-0.67
"Florence-Muscle Shoals, AL",2000,65795,6.07,5.1887,-1.45
"Florence-Muscle Shoals, AL",2001,63881,-2.91,6.6532,1.46
"Florence-Muscle Shoals, AL",2002,61250,-4.12,8.4997,1.85
"Florence-Muscle Shoals, AL",2003,60904,-0.56,7.3807,-1.12
"Florence-Muscle Shoals, AL",2004,61688,1.29,6.6897,-0.69
"Florence-Muscle Shoals, AL",2005,63514,2.96,5.2334,-1.46
"Florence-Muscle Shoals, AL",2006,64923,2.22,4.3838,-0.85
"Florence-Muscle Shoals, AL",2007,65605,1.05,4.4256,0.04
"Florence-Muscle Shoals, AL",2008,63931,-2.55,6.0291,1.6
"Florence-Muscle Shoals, AL",2009,61264,-4.17,11.0114,4.98
"Florence-Muscle Shoals, AL",2010,60646,-1.01,10.5821,-0.43
"Florence-Muscle Shoals, AL",2011,61931,2.12,9.502,-1.08
"Florence-Muscle Shoals, AL",2012,62006,0.12,8.05,-1.45
"Florence-Muscle Shoals, AL",2013,62019,0.02,7.4958,-0.55
"Florence-Muscle Shoals, AL",2014,62404,0.62,7.5815,0.09
"Florence-Muscle Shoals, AL",2015,61419,-1.58,7.2926,-0.29
"Florence-Muscle Shoals, AL",2016,61627,0.34,6.5849,-0.71
"Florence-Muscle Shoals, AL",2017,61827,0.32,4.824,-1.76
"Florence-Muscle Shoals, AL",2018,62500,1.09,4.3666,-0.46
"Gadsden, AL",1990,41522,null,10.9499,null
"Gadsden, AL",1991,41484,-0.09,10.5545,-0.4
"Gadsden, AL",1992,42464,2.36,8.8412,-1.71
"Gadsden, AL",1993,43866,3.3,7.7497,-1.09
"Gadsden, AL",1994,44629,1.74,6.6813,-1.07
"Gadsden, AL",1995,45426,1.78,6.391,-0.29
"Gadsden, AL",1996,46109,1.5,5.4123,-0.98
"Gadsden, AL",1997,46921,1.76,5.1115,-0.3
"Gadsden, AL",1998,47367,0.95,5.0628,-0.05
"Gadsden, AL",1999,46003,-2.88,6.9522,1.89
"Gadsden, AL",2000,45380,-1.35,5.8049,-1.15
"Gadsden, AL",2001,43688,-3.73,6.5748,0.77
"Gadsden, AL",2002,43899,0.48,6.3828,-0.19
"Gadsden, AL",2003,43351,-1.25,6.5478,0.17
"Gadsden, AL",2004,44143,1.83,6.4168,-0.13
"Gadsden, AL",2005,44542,0.9,4.7466,-1.67
"Gadsden, AL",2006,44546,0.01,4.2459,-0.5
"Gadsden, AL",2007,43431,-2.5,4.4619,0.22
"Gadsden, AL",2008,42995,-1,5.9744,1.51
"Gadsden, AL",2009,39838,-7.34,11.4569,5.48
"Gadsden, AL",2010,39193,-1.62,10.9248,-0.53
"Gadsden, AL",2011,40238,2.67,10.0272,-0.9
"Gadsden, AL",2012,40589,0.87,8.2362,-1.79
"Gadsden, AL",2013,40538,-0.13,7.5791,-0.66
"Gadsden, AL",2014,40655,0.29,7.0418,-0.54
"Gadsden, AL",2015,40045,-1.5,6.1826,-0.86
"Gadsden, AL",2016,40700,1.64,5.9167,-0.27
"Gadsden, AL",2017,40932,0.57,4.5731,-1.34
"Gadsden, AL",2018,41456,1.28,4.1112,-0.46
"Huntsville, AL",1990,147503,null,5.102,null
"Huntsville, AL",1991,145953,-1.05,6.1674,1.07
"Huntsville, AL",1992,150108,2.85,5.3877,-0.78
"Huntsville, AL",1993,152748,1.76,5.6233,0.24
"Huntsville, AL",1994,152036,-0.47,5.6425,0.02
"Huntsville, AL",1995,154182,1.41,4.6184,-1.02
"Huntsville, AL",1996,157183,1.95,3.5347,-1.08
"Huntsville, AL",1997,162429,3.34,3.0816,-0.45
"Huntsville, AL",1998,165573,1.94,3.0332,-0.05
"Huntsville, AL",1999,166276,0.42,3.3252,0.29
"Huntsville, AL",2000,174997,5.24,3.5844,0.26
"Huntsville, AL",2001,175728,0.42,3.9391,0.35
"Huntsville, AL",2002,174379,-0.77,4.728,0.79
"Huntsville, AL",2003,178961,2.63,4.8984,0.17
"Huntsville, AL",2004,183118,2.32,4.7522,-0.15
"Huntsville, AL",2005,186635,1.92,3.7412,-1.01
"Huntsville, AL",2006,190476,2.06,3.3589,-0.38
"Huntsville, AL",2007,195340,2.55,3.1169,-0.24
"Huntsville, AL",2008,196990,0.84,4.2653,1.15
"Huntsville, AL",2009,189854,-3.62,8.3609,4.1
"Huntsville, AL",2010,190281,0.23,8.5863,0.23
"Huntsville, AL",2011,193143,1.5,8.3394,-0.25
"Huntsville, AL",2012,194710,0.81,6.9259,-1.41
"Huntsville, AL",2013,197519,1.44,6.2988,-0.63
"Huntsville, AL",2014,196814,-0.36,6.1549,-0.14
"Huntsville, AL",2015,199273,1.25,5.4851,-0.67
"Huntsville, AL",2016,203153,1.95,5.1608,-0.32
"Huntsville, AL",2017,207869,2.32,3.8735,-1.29
"Huntsville, AL",2018,215277,3.56,3.4584,-0.42
"Mobile, AL",1990,159194,null,6.9143,null
"Mobile, AL",1991,163858,2.93,7.0665,0.15
"Mobile, AL",1992,167362,2.14,8.2427,1.18
"Mobile, AL",1993,172246,2.92,8.3154,0.07
"Mobile, AL",1994,176245,2.32,7.3468,-0.97
"Mobile, AL",1995,178991,1.56,7.1126,-0.23
"Mobile, AL",1996,182454,1.93,5.6031,-1.51
"Mobile, AL",1997,187476,2.75,5.2985,-0.3
"Mobile, AL",1998,189259,0.95,4.4273,-0.87
"Mobile, AL",1999,188796,-0.24,5.0894,0.66
"Mobile, AL",2000,175846,-6.86,4.9229,-0.17
"Mobile, AL",2001,173439,-1.37,5.6176,0.69
"Mobile, AL",2002,169842,-2.07,6.4695,0.85
"Mobile, AL",2003,167696,-1.26,6.9604,0.49
"Mobile, AL",2004,167153,-0.32,6.574,-0.39
"Mobile, AL",2005,171438,2.56,4.9587,-1.62
"Mobile, AL",2006,174428,1.74,4.1702,-0.79
"Mobile, AL",2007,177096,1.53,4.008,-0.16
"Mobile, AL",2008,176623,-0.27,5.6835,1.68
"Mobile, AL",2009,165725,-6.17,11.2941,5.61
"Mobile, AL",2010,170943,3.15,11.3043,0.01
"Mobile, AL",2011,172971,1.19,10.7711,-0.53
"Mobile, AL",2012,171312,-0.96,9.179,-1.59
"Mobile, AL",2013,171088,-0.13,8.5313,-0.65
"Mobile, AL",2014,171026,-0.04,7.7434,-0.79
"Mobile, AL",2015,174057,1.77,6.8764,-0.87
"Mobile, AL",2016,175270,0.7,6.6421,-0.23
"Mobile, AL",2017,176587,0.75,5.1826,-1.46
"Mobile, AL",2018,179286,1.53,4.7107,-0.47
"Montgomery, AL",1990,135668,null,6.5606,null
"Montgomery, AL",1991,134404,-0.93,6.5825,0.02
"Montgomery, AL",1992,138739,3.23,6.6918,0.11
"Montgomery, AL",1993,142244,2.53,6.2782,-0.41
"Montgomery, AL",1994,145397,2.22,5.3097,-0.97
"Montgomery, AL",1995,148266,1.97,5.6662,0.36
"Montgomery, AL",1996,152443,2.82,4.4186,-1.25
"Montgomery, AL",1997,156491,2.66,4.4385,0.02
"Montgomery, AL",1998,159155,1.7,3.5596,-0.88
"Montgomery, AL",1999,160732,0.99,3.9223,0.36
"Montgomery, AL",2000,156632,-2.55,4.1991,0.28
"Montgomery, AL",2001,156045,-0.37,4.493,0.29
"Montgomery, AL",2002,154112,-1.24,5.2629,0.77
"Montgomery, AL",2003,155350,0.8,5.6962,0.43
"Montgomery, AL",2004,156954,1.03,5.5724,-0.12
"Montgomery, AL",2005,161084,2.63,4.399,-1.17
"Montgomery, AL",2006,163298,1.37,3.9944,-0.4
"Montgomery, AL",2007,164395,0.67,3.9195,-0.07
"Montgomery, AL",2008,161988,-1.46,5.7737,1.85
"Montgomery, AL",2009,153293,-5.37,10.4187,4.64
"Montgomery, AL",2010,158232,3.22,9.8387,-0.58
"Montgomery, AL",2011,159177,0.6,9.4366,-0.4
"Montgomery, AL",2012,160166,0.62,7.8285,-1.61
"Montgomery, AL",2013,160919,0.47,7.0416,-0.79
"Montgomery, AL",2014,159791,-0.7,6.5947,-0.45
"Montgomery, AL",2015,161197,0.88,5.8553,-0.74
"Montgomery, AL",2016,163170,1.22,5.5047,-0.35
"Montgomery, AL",2017,165202,1.25,4.1745,-1.33
"Montgomery, AL",2018,166987,1.08,3.8823,-0.29
"Tuscaloosa, AL",1990,80358,null,5.2755,null
"Tuscaloosa, AL",1991,80104,-0.32,6.0336,0.76
"Tuscaloosa, AL",1992,80234,0.16,6.7946,0.76
"Tuscaloosa, AL",1993,83254,3.76,6.2853,-0.51
"Tuscaloosa, AL",1994,85921,3.2,5.4944,-0.79
"Tuscaloosa, AL",1995,87527,1.87,5.3098,-0.18
"Tuscaloosa, AL",1996,89729,2.52,4.5173,-0.79
"Tuscaloosa, AL",1997,93605,4.32,4.058,-0.46
"Tuscaloosa, AL",1998,95537,2.06,3.6432,-0.41
"Tuscaloosa, AL",1999,95306,-0.24,3.9239,0.28
"Tuscaloosa, AL",2000,92960,-2.46,4.3887,0.46
"Tuscaloosa, AL",2001,92198,-0.82,4.7704,0.38
"Tuscaloosa, AL",2002,91794,-0.44,5.2253,0.45
"Tuscaloosa, AL",2003,92014,0.24,5.4456,0.22
"Tuscaloosa, AL",2004,93246,1.34,5.1879,-0.26
"Tuscaloosa, AL",2005,95834,2.78,3.9949,-1.19
"Tuscaloosa, AL",2006,99114,3.42,3.5654,-0.43
"Tuscaloosa, AL",2007,100295,1.19,3.561,0
"Tuscaloosa, AL",2008,98811,-1.48,5.0823,1.52
"Tuscaloosa, AL",2009,92875,-6.01,10.7057,5.62
"Tuscaloosa, AL",2010,97433,4.91,9.8328,-0.87
"Tuscaloosa, AL",2011,99621,2.25,8.8797,-0.95
"Tuscaloosa, AL",2012,100890,1.27,7.4552,-1.42
"Tuscaloosa, AL",2013,101815,0.92,6.853,-0.6
"Tuscaloosa, AL",2014,103924,2.07,6.2803,-0.57
"Tuscaloosa, AL",2015,106525,2.5,5.6649,-0.62
"Tuscaloosa, AL",2016,106371,-0.14,5.8467,0.18
"Tuscaloosa, AL",2017,108152,1.67,4.3136,-1.53
"Tuscaloosa, AL",2018,110161,1.86,3.8363,-0.48
"Anchorage, AK",1990,131387,null,6.1024,null
"Anchorage, AK",1991,132586,0.91,7.4123,1.31
"Anchorage, AK",1992,137048,3.37,7.949,0.54
"Anchorage, AK",1993,144650,5.55,6.6389,-1.31
"Anchorage, AK",1994,149117,3.09,6.2671,-0.37
"Anchorage, AK",1995,149683,0.38,6.0415,-0.23
"Anchorage, AK",1996,152121,1.63,6.1792,0.14
"Anchorage, AK",1997,155881,2.47,5.9581,-0.22
"Anchorage, AK",1998,161203,3.41,5.0156,-0.94
"Anchorage, AK",1999,162865,1.03,5.2368,0.22
"Anchorage, AK",2000,160204,-1.63,5.4703,0.23
"Anchorage, AK",2001,162501,1.43,5.4127,-0.06
"Anchorage, AK",2002,164227,1.06,6.2634,0.85
"Anchorage, AK",2003,166155,1.17,6.7842,0.52
"Anchorage, AK",2004,169174,1.82,6.4001,-0.38
"Anchorage, AK",2005,174767,3.31,5.9154,-0.48
"Anchorage, AK",2006,179600,2.77,5.7574,-0.16
"Anchorage, AK",2007,180270,0.37,5.5441,-0.21
"Anchorage, AK",2008,182207,1.07,5.9055,0.36
"Anchorage, AK",2009,182520,0.17,7.031,1.13
"Anchorage, AK",2010,185858,1.83,7.1812,0.15
"Anchorage, AK",2011,188932,1.65,6.6424,-0.54
"Anchorage, AK",2012,189865,0.49,6.0713,-0.57
"Anchorage, AK",2013,190423,0.29,5.8836,-0.19
"Anchorage, AK",2014,191278,0.45,5.8393,-0.04
"Anchorage, AK",2015,191780,0.26,5.6526,-0.19
"Anchorage, AK",2016,190722,-0.55,6.195,0.54
"Anchorage, AK",2017,189466,-0.66,6.6015,0.41
"Anchorage, AK",2018,187960,-0.8,6.1267,-0.47
"Fairbanks, AK",1990,32503,null,8.6477,null
"Fairbanks, AK",1991,33154,2,9.8334,1.19
"Fairbanks, AK",1992,35210,6.2,9.4856,-0.35
"Fairbanks, AK",1993,36413,3.42,8.3495,-1.14
"Fairbanks, AK",1994,37628,3.34,8.0431,-0.31
"Fairbanks, AK",1995,38263,1.69,7.5204,-0.52
"Fairbanks, AK",1996,39606,3.51,7.4355,-0.08
"Fairbanks, AK",1997,40445,2.12,6.8483,-0.59
"Fairbanks, AK",1998,40792,0.86,6.1314,-0.72
"Fairbanks, AK",1999,40924,0.32,6.0459,-0.09
"Fairbanks, AK",2000,38486,-5.96,6.162,0.12
"Fairbanks, AK",2001,38910,1.1,6.0671,-0.09
"Fairbanks, AK",2002,39065,0.4,6.6002,0.53
"Fairbanks, AK",2003,39603,1.38,7.0326,0.43
"Fairbanks, AK",2004,41206,4.05,6.4584,-0.57
"Fairbanks, AK",2005,42606,3.4,5.8358,-0.62
"Fairbanks, AK",2006,42634,0.06,5.7002,-0.14
"Fairbanks, AK",2007,42858,0.53,5.5672,-0.13
"Fairbanks, AK",2008,43198,0.79,6.0766,0.51
"Fairbanks, AK",2009,42756,-1.02,7.0815,1
"Fairbanks, AK",2010,45083,5.44,6.6319,-0.45
"Fairbanks, AK",2011,45238,0.34,6.4441,-0.19
"Fairbanks, AK",2012,45264,0.06,6.085,-0.36
"Fairbanks, AK",2013,44514,-1.66,5.8613,-0.22
"Fairbanks, AK",2014,44129,-0.86,5.7746,-0.09
"Fairbanks, AK",2015,43929,-0.45,5.4665,-0.31
"Fairbanks, AK",2016,43792,-0.31,5.9256,0.46
"Fairbanks, AK",2017,43768,-0.06,6.2941,0.37
"Fairbanks, AK",2018,43262,-1.15,5.9746,-0.32
"Flagstaff, AZ",1990,44510,null,7.5102,null
"Flagstaff, AZ",1991,45601,2.45,7.5215,0.01
"Flagstaff, AZ",1992,47735,4.68,9.2864,1.76
"Flagstaff, AZ",1993,49293,3.26,8.8444,-0.44
"Flagstaff, AZ",1994,53105,7.73,8.9431,0.1
"Flagstaff, AZ",1995,55884,5.23,8.1678,-0.78
"Flagstaff, AZ",1996,53943,-3.47,8.8172,0.65
"Flagstaff, AZ",1997,54314,0.69,8.2746,-0.54
"Flagstaff, AZ",1998,55692,2.54,7.6561,-0.62
"Flagstaff, AZ",1999,58325,4.73,6.834,-0.82
"Flagstaff, AZ",2000,59882,2.67,4.3603,-2.47
"Flagstaff, AZ",2001,60563,1.14,4.7346,0.37
"Flagstaff, AZ",2002,62156,2.63,5.4652,0.73
"Flagstaff, AZ",2003,61985,-0.27,5.7111,0.25
"Flagstaff, AZ",2004,63381,2.25,5.3559,-0.36
"Flagstaff, AZ",2005,64549,1.84,4.9112,-0.44
"Flagstaff, AZ",2006,66470,2.98,4.3759,-0.54
"Flagstaff, AZ",2007,68093,2.44,3.7366,-0.64
"Flagstaff, AZ",2008,69108,1.49,5.6007,1.86
"Flagstaff, AZ",2009,68429,-0.98,8.5231,2.92
"Flagstaff, AZ",2010,65650,-4.06,9.8779,1.35
"Flagstaff, AZ",2011,64846,-1.22,9.5366,-0.34
"Flagstaff, AZ",2012,64922,0.12,8.6015,-0.94
"Flagstaff, AZ",2013,65110,0.29,8.1368,-0.46
"Flagstaff, AZ",2014,66866,2.7,7.0794,-1.06
"Flagstaff, AZ",2015,68209,2.01,6.489,-0.59
"Flagstaff, AZ",2016,69405,1.75,6.0075,-0.48
